,NM_MUNICIPIO,NM_VOTAVEL,QT_VOTOS,NM_LOCAL_VOTACAO
43634,MONGAGUÁ,VANDERLEY DE OLIVEIRA AMORIM,3,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
46127,MONGAGUÁ,EDILSON TONON D ALMEIDA,3,EMEIEF. PEQUENO PRÍNCIPE
46130,MONGAGUÁ,EDILSON TONON D ALMEIDA,4,EMEIEF. PEQUENO PRÍNCIPE
46138,MONGAGUÁ,EDILSON TONON D ALMEIDA,9,EMEIEF. PROF. CÉLIA PUPO DE JESUS
46605,MONGAGUÁ,WALTER LUIZ DA COSTA,3,EMEIEF CLAUDIA MARIA ANDRELLA
46637,MONGAGUÁ,WALTER LUIZ DA COSTA,1,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
48142,MONGAGUÁ,ELAINE ALVES DE ARRUDA,2,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
48158,MONGAGUÁ,GILMAR AGUIAR FREITAS,1,EMEIEF. PEQUENO PRÍNCIPE
48160,MONGAGUÁ,GILMAR AGUIAR FREITAS,4,EMEIEF. PEQUENO PRÍNCIPE
48609,MONGAGUÁ,GILMAR AGUIAR FREITAS,5,EMEIEF. PROF. CÉLIA PUPO DE JESUS
48620,MONGAGUÁ,MARIA PAULA PEREIRA KOUKDJIAN,4,EMEIEF. PEQUENO PRÍNCIPE
48624,MONGAGUÁ,MARIA PAULA PEREIRA KOUKDJIAN,11,EMEIEF. PEQUENO PRÍNCIPE
48628,MONGAGUÁ,MARIA PAULA PEREIRA KOUKDJIAN,6,EMEIEF. PROF. CÉLIA PUPO DE JESUS
49110,MONGAGUÁ,MARIA EUNICE OLIVEIRA DOS SANTOS,1,EMEIEF. PEQUENO PRÍNCIPE
49657,MONGAGUÁ,ADEILTON SANTIAGO,1,EE. PROF. ARACY DA SILVA FREITAS
51169,MONGAGUÁ,ALEXANDRE DA SILVA GUERRA,2,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
51170,MONGAGUÁ,ALEXANDRE DA SILVA GUERRA,4,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
51175,MONGAGUÁ,ALEXANDRE DA SILVA GUERRA,2,EMEF. IVONE DE ALMEIDA MONTEIRO
51178,MONGAGUÁ,ALEXANDRE DA SILVA GUERRA,5,EMEF. IVONE DE ALMEIDA MONTEIRO
52153,MONGAGUÁ,RENATO CARVALHO DONATO,4,EMEIEF. PEQUENO PRÍNCIPE
52154,MONGAGUÁ,RENATO CARVALHO DONATO,1,EMEIEF. PEQUENO PRÍNCIPE
52160,MONGAGUÁ,ELI DE SOUZA SILVA,1,EMEIEF CLAUDIA MARIA ANDRELLA
52618,MONGAGUÁ,RENATO CARVALHO DONATO,5,EMEIEF. PROF. CÉLIA PUPO DE JESUS
53640,MONGAGUÁ,FABIO DO CARMO CEZAR,1,EMEF. PROF. PEDRO FERNANDES DANTE
55658,MONGAGUÁ,EDILSON TONON D ALMEIDA,7,EMEF. PROF. PEDRO FERNANDES DANTE
56658,MONGAGUÁ,ELAINE ALVES DE ARRUDA,1,EMEIEF. PROF. CÉLIA PUPO DE JESUS
56685,MONGAGUÁ,RENATO CARVALHO DONATO,3,EMEF. PROF. PEDRO FERNANDES DANTE
57194,MONGAGUÁ,ALEXANDRE NADDEO,1,EMEF. JACOUB KOUKDJIAN
57682,MONGAGUÁ,ALEXANDRE DA SILVA GUERRA,6,EMEIEF. PROF. CÉLIA PUPO DE JESUS
58700,MONGAGUÁ,RENATA DE LIMA SANTANA DIAS,1,EMEF. IVONE DE ALMEIDA MONTEIRO
60153,MONGAGUÁ,EDILSON TONON D ALMEIDA,6,EMEIEF CLAUDIA MARIA ANDRELLA
60154,MONGAGUÁ,EDILSON TONON D ALMEIDA,15,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
60155,MONGAGUÁ,EDILSON TONON D ALMEIDA,8,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
60694,MONGAGUÁ,ELI DE SOUZA SILVA,1,EMEF. FLÓRIDA MIRIM
62711,MONGAGUÁ,GILMAR AGUIAR FREITAS,2,EMEIEF CLAUDIA MARIA ANDRELLA
62712,MONGAGUÁ,GILMAR AGUIAR FREITAS,3,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
63154,MONGAGUÁ,GILMAR AGUIAR FREITAS,5,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
63168,MONGAGUÁ,MARIA PAULA PEREIRA KOUKDJIAN,5,EMEIEF CLAUDIA MARIA ANDRELLA
63169,MONGAGUÁ,MARIA PAULA PEREIRA KOUKDJIAN,8,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
63172,MONGAGUÁ,MARIA PAULA PEREIRA KOUKDJIAN,4,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
63685,MONGAGUÁ,MARIA EUNICE OLIVEIRA DOS SANTOS,1,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
65197,MONGAGUÁ,WAGNER MARTINS DOS REIS,1,EMEF. TONICO SILVA
65198,MONGAGUÁ,WAGNER MARTINS DOS REIS,2,EE. PROF. ARACY DA SILVA FREITAS
65686,MONGAGUÁ,ALEXANDRE DA SILVA GUERRA,1,EMEF. PROF. PEDRO FERNANDES DANTE
66190,MONGAGUÁ,RENATA DE LIMA SANTANA DIAS,1,EE. PROF. ARACY DA SILVA FREITAS
66709,MONGAGUÁ,GILVAN NUNES SOARES,1,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
67212,MONGAGUÁ,RENATO CARVALHO DONATO,1,EMEIEF CLAUDIA MARIA ANDRELLA
67217,MONGAGUÁ,RENATO CARVALHO DONATO,7,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
67219,MONGAGUÁ,RENATO CARVALHO DONATO,8,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
67677,MONGAGUÁ,ELI DE SOUZA SILVA,1,EMEF. BARIGUI
67678,MONGAGUÁ,ALEX GONÇALVES DE ARAÚJO,1,EE. AGENOR DE CAMPOS
68694,MONGAGUÁ,FABIO DO CARMO CEZAR,2,EMEIEF. PEQUENO PRÍNCIPE
68695,MONGAGUÁ,FABIO DO CARMO CEZAR,1,EE. AGENOR DE CAMPOS
70677,MONGAGUÁ,EDILSON TONON D ALMEIDA,5,EMEIEF. PEQUENO PRÍNCIPE
70682,MONGAGUÁ,EDILSON TONON D ALMEIDA,4,EMEF. FLÓRIDA MIRIM
70683,MONGAGUÁ,EDILSON TONON D ALMEIDA,1,EMEF. IVONE DE ALMEIDA MONTEIRO
70684,MONGAGUÁ,EDILSON TONON D ALMEIDA,2,EE. AGENOR DE CAMPOS
71681,MONGAGUÁ,ALEXANDRE DA SILVA GUERRA,3,EMEF. PROF. PEDRO FERNANDES DANTE
71682,MONGAGUÁ,ALEXANDRE DA SILVA GUERRA,7,EE. PROF. ARACY DA SILVA FREITAS
72216,MONGAGUÁ,MARLENE APARECIDA DE SOUZA ZERTUS,2,EMEF. TONICO SILVA
72225,MONGAGUÁ,MARLENE APARECIDA DE SOUZA ZERTUS,1,EE. PROF. ARACY DA SILVA FREITAS
72677,MONGAGUÁ,GILMAR AGUIAR FREITAS,1,EE. AGENOR DE CAMPOS
72681,MONGAGUÁ,MARIA PAULA PEREIRA KOUKDJIAN,5,EMEIEF. PEQUENO PRÍNCIPE
72692,MONGAGUÁ,MARIA PAULA PEREIRA KOUKDJIAN,2,EMEF. FLÓRIDA MIRIM
72695,MONGAGUÁ,MARIA PAULA PEREIRA KOUKDJIAN,5,EMEF. IVONE DE ALMEIDA MONTEIRO
72700,MONGAGUÁ,MARIA PAULA PEREIRA KOUKDJIAN,5,EE. AGENOR DE CAMPOS
73186,MONGAGUÁ,MARIA EUNICE OLIVEIRA DOS SANTOS,1,EMEIEF. PEQUENO PRÍNCIPE
73197,MONGAGUÁ,MARIA EUNICE OLIVEIRA DOS SANTOS,2,EMEF. IVONE DE ALMEIDA MONTEIRO
74690,MONGAGUÁ,MIRELLA KEZIA SOUZA FELIX DE LIMA,1,EE. PROF. ARACY DA SILVA FREITAS
75199,MONGAGUÁ,WALTER LUIZ DA COSTA,1,EMEF. TONICO SILVA
75223,MONGAGUÁ,WALTER LUIZ DA COSTA,1,EE. PROF. ARACY DA SILVA FREITAS
76201,MONGAGUÁ,MARCELO PIRES FERREIRA,1,EMEF SIRANA KOUKDJIAN
76210,MONGAGUÁ,RENATO CARVALHO DONATO,5,EMEIEF. PEQUENO PRÍNCIPE
76214,MONGAGUÁ,RENATO CARVALHO DONATO,1,EMEF. FLÓRIDA MIRIM
76215,MONGAGUÁ,RENATO CARVALHO DONATO,6,EMEF. IVONE DE ALMEIDA MONTEIRO
76217,MONGAGUÁ,RENATO CARVALHO DONATO,5,EE. AGENOR DE CAMPOS
77211,MONGAGUÁ,ELAINE ALVES DE ARRUDA,1,EMEF SIRANA KOUKDJIAN
77221,MONGAGUÁ,ELI DE SOUZA SILVA,2,EMEIEF. PEQUENO PRÍNCIPE
77690,MONGAGUÁ,FABIO DO CARMO CEZAR,1,EE. PROF. ARACY DA SILVA FREITAS
79216,MONGAGUÁ,EDILSON TONON D ALMEIDA,14,EE. PROF. ARACY DA SILVA FREITAS
79218,MONGAGUÁ,EDILSON TONON D ALMEIDA,12,EMEIEF. PROF. CÉLIA PUPO DE JESUS
79709,MONGAGUÁ,ALEXANDRE DA SILVA GUERRA,5,EMEIEF. PROF. CÉLIA PUPO DE JESUS
81234,MONGAGUÁ,GILMAR AGUIAR FREITAS,1,EE. PROF. ARACY DA SILVA FREITAS
81243,MONGAGUÁ,GILMAR AGUIAR FREITAS,2,EMEIEF. PROF. CÉLIA PUPO DE JESUS
81247,MONGAGUÁ,LIAMARA ZUBIA CHILA,3,EMEF. TONICO SILVA
81250,MONGAGUÁ,LIAMARA ZUBIA CHILA,2,EMEF. TONICO SILVA
81254,MONGAGUÁ,LIAMARA ZUBIA CHILA,1,EE. PROF. ARACY DA SILVA FREITAS
81255,MONGAGUÁ,MARIA PAULA PEREIRA KOUKDJIAN,17,EE. PROF. ARACY DA SILVA FREITAS
81259,MONGAGUÁ,MARIA PAULA PEREIRA KOUKDJIAN,4,EMEIEF. PROF. CÉLIA PUPO DE JESUS
81747,MONGAGUÁ,FABIO DO CARMO CEZAR,1,EMEIEF CLAUDIA MARIA ANDRELLA
82247,MONGAGUÁ,ALEXANDRE DA SILVA GUERRA,4,EMEIEF. PEQUENO PRÍNCIPE
82730,MONGAGUÁ,MARIA EUNICE OLIVEIRA DOS SANTOS,1,EE. PROF. ARACY DA SILVA FREITAS
84213,MONGAGUÁ,ADEILTON SANTIAGO,1,EMEF. TONICO SILVA
84760,MONGAGUÁ,MARCELO PIRES FERREIRA,1,EE. PROF. AIDA LEDA BAUER DAVIES
85225,MONGAGUÁ,RENATA DE LIMA SANTANA DIAS,2,EMEF. JACOUB KOUKDJIAN
85261,MONGAGUÁ,WAGNER MARTINS DOS REIS,1,EE. AGENOR DE CAMPOS
86219,MONGAGUÁ,RENATO CARVALHO DONATO,6,EE. PROF. ARACY DA SILVA FREITAS
86224,MONGAGUÁ,RENATO CARVALHO DONATO,5,EMEIEF. PROF. CÉLIA PUPO DE JESUS
86270,MONGAGUÁ,ELI DE SOUZA SILVA,8,EMEF. JACOUB KOUKDJIAN
86714,MONGAGUÁ,ALEX GONÇALVES DE ARAÚJO,1,EMEF. JACOUB KOUKDJIAN
86718,MONGAGUÁ,ELI DE SOUZA SILVA,3,EMEF. FLÓRIDA MIRIM
87258,MONGAGUÁ,FABIO DO CARMO CEZAR,1,EMEF. JACOUB KOUKDJIAN
88239,MONGAGUÁ,ALEXANDRE DA SILVA GUERRA,2,EE. PROF. AIDA LEDA BAUER DAVIES
89750,MONGAGUÁ,EDILSON TONON D ALMEIDA,4,EMEF. JACOUB KOUKDJIAN
91757,MONGAGUÁ,GILMAR AGUIAR FREITAS,1,EMEF. JACOUB KOUKDJIAN
91778,MONGAGUÁ,MARIA PAULA PEREIRA KOUKDJIAN,6,EMEF. JACOUB KOUKDJIAN
92772,MONGAGUÁ,RENATA DE LIMA SANTANA DIAS,1,EE. PROF. AIDA LEDA BAUER DAVIES
93275,MONGAGUÁ,ELAINE ALVES DE ARRUDA,1,EMEF VEREADOR GIVALDO ALVES GOMES
93276,MONGAGUÁ,ELAINE ALVES DE ARRUDA,1,EMEIEF CLAUDIA MARIA ANDRELLA
93298,MONGAGUÁ,ELI DE SOUZA SILVA,5,EMEF. FLÓRIDA MIRIM
94798,MONGAGUÁ,VANDERLEY DE OLIVEIRA AMORIM,1,EE. AGENOR DE CAMPOS
95257,MONGAGUÁ,ALEXANDRE DA SILVA GUERRA,2,EMEF. JACOUB KOUKDJIAN
95258,MONGAGUÁ,ALEXANDRE DA SILVA GUERRA,1,EMEF VEREADOR GIVALDO ALVES GOMES
95265,MONGAGUÁ,ALEXANDRE DA SILVA GUERRA,2,EE. AGENOR DE CAMPOS
95286,MONGAGUÁ,GILVAN NUNES SOARES,1,EMEF. JACOUB KOUKDJIAN
95753,MONGAGUÁ,RENATO CARVALHO DONATO,4,EMEF. JACOUB KOUKDJIAN
95805,MONGAGUÁ,WALTER LUIZ DA COSTA,1,EE. AGENOR DE CAMPOS
97258,MONGAGUÁ,ELI DE SOUZA SILVA,1,EE. AGENOR DE CAMPOS
97259,MONGAGUÁ,ELI DE SOUZA SILVA,5,EMEF. JACOUB KOUKDJIAN
100290,MONGAGUÁ,RENATA DE LIMA SANTANA DIAS,1,EMEF. BARIGUI
100815,MONGAGUÁ,ELI DE SOUZA SILVA,3,EE. AGENOR DE CAMPOS
101767,MONGAGUÁ,ALEXANDRE DA SILVA GUERRA,8,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
102301,MONGAGUÁ,LIAMARA ZUBIA CHILA,1,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
103813,MONGAGUÁ,ADEILTON SANTIAGO,1,EMEF SIRANA KOUKDJIAN
103814,MONGAGUÁ,ADEILTON SANTIAGO,1,EMEF SIRANA KOUKDJIAN
106805,MONGAGUÁ,ELAINE ALVES DE ARRUDA,2,EMEF. TONICO SILVA
107831,MONGAGUÁ,EDILSON TONON D ALMEIDA,9,EMEF. PROF. PEDRO FERNANDES DANTE
108849,MONGAGUÁ,RENATA DE LIMA SANTANA DIAS,1,EMEF. TONICO SILVA
109302,MONGAGUÁ,ALEXANDRE DA SILVA GUERRA,2,EMEF. TONICO SILVA
109305,MONGAGUÁ,ALEXANDRE DA SILVA GUERRA,4,EMEF. PREFEITO CASSIMIRO CORREA NETO
110328,MONGAGUÁ,GILMAR AGUIAR FREITAS,2,EMEF. PROF. PEDRO FERNANDES DANTE
110349,MONGAGUÁ,MARIA PAULA PEREIRA KOUKDJIAN,4,EMEF. PROF. PEDRO FERNANDES DANTE
110838,MONGAGUÁ,MARIA EUNICE OLIVEIRA DOS SANTOS,1,EMEF. PROF. PEDRO FERNANDES DANTE
111831,MONGAGUÁ,MARLENE APARECIDA DE SOUZA ZERTUS,1,EE. AGENOR DE CAMPOS
113846,MONGAGUÁ,GILVAN NUNES SOARES,1,EMEF. PROF. PEDRO FERNANDES DANTE
114327,MONGAGUÁ,RENATO CARVALHO DONATO,3,EMEF. PROF. PEDRO FERNANDES DANTE
115336,MONGAGUÁ,RENATO CARVALHO DONATO,5,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
115865,MONGAGUÁ,ELAINE ALVES DE ARRUDA,2,EMEF. IVONE DE ALMEIDA MONTEIRO
117338,MONGAGUÁ,EDILSON TONON D ALMEIDA,10,EMEF. TONICO SILVA
117345,MONGAGUÁ,EDILSON TONON D ALMEIDA,5,EMEF. PREFEITO CASSIMIRO CORREA NETO
117839,MONGAGUÁ,ADEILTON SANTIAGO,1,EMEF. IVONE DE ALMEIDA MONTEIRO
117840,MONGAGUÁ,ADEILTON SANTIAGO,1,EE. AGENOR DE CAMPOS
118377,MONGAGUÁ,ALEXANDRE DA SILVA GUERRA,5,EMEF SIRANA KOUKDJIAN
118393,MONGAGUÁ,ALEXANDRE DA SILVA GUERRA,4,EE. PROF. AIDA LEDA BAUER DAVIES
118394,MONGAGUÁ,ALEXANDRE DA SILVA GUERRA,4,EMEF. IVONE DE ALMEIDA MONTEIRO
118859,MONGAGUÁ,RENATA DE LIMA SANTANA DIAS,1,EMEF. FLÓRIDA MIRIM
119377,MONGAGUÁ,GILMAR AGUIAR FREITAS,1,EMEF. TONICO SILVA
119384,MONGAGUÁ,GILMAR AGUIAR FREITAS,1,EMEF. PREFEITO CASSIMIRO CORREA NETO
119387,MONGAGUÁ,MARIA PAULA PEREIRA KOUKDJIAN,14,EMEF. TONICO SILVA
119394,MONGAGUÁ,MARIA PAULA PEREIRA KOUKDJIAN,2,EMEF. PREFEITO CASSIMIRO CORREA NETO
119857,MONGAGUÁ,ELI DE SOUZA SILVA,2,EMEIEF. PEQUENO PRÍNCIPE
119860,MONGAGUÁ,ALEX GONÇALVES DE ARAÚJO,1,EMEIEF. PEQUENO PRÍNCIPE
119866,MONGAGUÁ,ELI DE SOUZA SILVA,1,EMEF. FLÓRIDA MIRIM
119873,MONGAGUÁ,ELI DE SOUZA SILVA,2,EE. AGENOR DE CAMPOS
123413,MONGAGUÁ,RENATO CARVALHO DONATO,5,EMEF. TONICO SILVA
123868,MONGAGUÁ,RENATO CARVALHO DONATO,4,EMEF. PREFEITO CASSIMIRO CORREA NETO
124898,MONGAGUÁ,FABIO DO CARMO CEZAR,1,EMEIEF SÍTIO DO PICA PAU AMARELO
124899,MONGAGUÁ,FABIO DO CARMO CEZAR,1,EMEIEF. PEQUENO PRÍNCIPE
125406,MONGAGUÁ,ADEILTON SANTIAGO,1,EMEIEF. PROF. CÉLIA PUPO DE JESUS
126924,MONGAGUÁ,EDILSON TONON D ALMEIDA,6,EMEIEF SÍTIO DO PICA PAU AMARELO
126925,MONGAGUÁ,EDILSON TONON D ALMEIDA,12,EMEF. PREFEITO CASSIMIRO CORREA NETO
127373,MONGAGUÁ,EDILSON TONON D ALMEIDA,6,EMEIEF. PEQUENO PRÍNCIPE
127932,MONGAGUÁ,ELI DE SOUZA SILVA,3,EE. PROF. ARACY DA SILVA FREITAS
128376,MONGAGUÁ,ELI DE SOUZA SILVA,1,EMEIEF. PROF. CÉLIA PUPO DE JESUS
129386,MONGAGUÁ,ALEXANDRE DA SILVA GUERRA,4,EE. PROF. ARACY DA SILVA FREITAS
129391,MONGAGUÁ,GILMAR AGUIAR FREITAS,4,EMEIEF SÍTIO DO PICA PAU AMARELO
129392,MONGAGUÁ,ALEXANDRE DA SILVA GUERRA,1,EE. AGENOR DE CAMPOS
129395,MONGAGUÁ,GILMAR AGUIAR FREITAS,7,EMEF. PREFEITO CASSIMIRO CORREA NETO
129405,MONGAGUÁ,MARIA PAULA PEREIRA KOUKDJIAN,9,EMEIEF SÍTIO DO PICA PAU AMARELO
129419,MONGAGUÁ,MARIA PAULA PEREIRA KOUKDJIAN,6,EMEF. PREFEITO CASSIMIRO CORREA NETO
129424,MONGAGUÁ,MARIA PAULA PEREIRA KOUKDJIAN,4,EMEIEF. PEQUENO PRÍNCIPE
129931,MONGAGUÁ,MARIA EUNICE OLIVEIRA DOS SANTOS,1,EMEIEF SÍTIO DO PICA PAU AMARELO
133954,MONGAGUÁ,RENATO CARVALHO DONATO,7,EMEIEF SÍTIO DO PICA PAU AMARELO
133957,MONGAGUÁ,RENATO CARVALHO DONATO,3,EMEF. PREFEITO CASSIMIRO CORREA NETO
133963,MONGAGUÁ,RENATO CARVALHO DONATO,6,EMEIEF. PEQUENO PRÍNCIPE
135449,MONGAGUÁ,FABIO DO CARMO CEZAR,2,EMEIEF. PEQUENO PRÍNCIPE
136984,MONGAGUÁ,EDILSON TONON D ALMEIDA,10,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
136985,MONGAGUÁ,EDILSON TONON D ALMEIDA,5,EMEIEF. PEQUENO PRÍNCIPE
137481,MONGAGUÁ,RENATA DE LIMA SANTANA DIAS,5,EMEF. JACOUB KOUKDJIAN
138969,MONGAGUÁ,GILMAR AGUIAR FREITAS,3,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
138974,MONGAGUÁ,MARIA PAULA PEREIRA KOUKDJIAN,7,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
138977,MONGAGUÁ,MARIA PAULA PEREIRA KOUKDJIAN,3,EMEIEF. PEQUENO PRÍNCIPE
138995,MONGAGUÁ,MARIA EUNICE OLIVEIRA DOS SANTOS,1,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
140515,MONGAGUÁ,ALEXANDRE DA SILVA GUERRA,5,EMEF SIRANA KOUKDJIAN
140965,MONGAGUÁ,ALEXANDRE DA SILVA GUERRA,3,EMEIEF SÍTIO DO PICA PAU AMARELO
141981,MONGAGUÁ,RENATO CARVALHO DONATO,9,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
141983,MONGAGUÁ,RENATO CARVALHO DONATO,7,EMEIEF. PEQUENO PRÍNCIPE
142527,MONGAGUÁ,FABIO DO CARMO CEZAR,1,EMEF. BARIGUI
143507,MONGAGUÁ,ELI DE SOUZA SILVA,8,EMEF. JACOUB KOUKDJIAN
143512,MONGAGUÁ,ALEX GONÇALVES DE ARAÚJO,1,EMEF. JACOUB KOUKDJIAN
145046,MONGAGUÁ,EDILSON TONON D ALMEIDA,7,EMEF. BARIGUI
148042,MONGAGUÁ,MARIA PAULA PEREIRA KOUKDJIAN,1,EMEF. BARIGUI
151575,MONGAGUÁ,ALEXANDRE DA SILVA GUERRA,1,EE. AGENOR DE CAMPOS
152591,MONGAGUÁ,RENATO CARVALHO DONATO,2,EMEF. BARIGUI
154069,MONGAGUÁ,FABIO DO CARMO CEZAR,2,EMEIEF CLAUDIA MARIA ANDRELLA
156093,MONGAGUÁ,EDILSON TONON D ALMEIDA,3,EMEIEF. PROF. CÉLIA PUPO DE JESUS
156106,MONGAGUÁ,EDILSON TONON D ALMEIDA,13,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
156108,MONGAGUÁ,EDILSON TONON D ALMEIDA,2,EMEF. PREFEITO CASSIMIRO CORREA NETO
156118,MONGAGUÁ,EDILSON TONON D ALMEIDA,7,EMEIEF CLAUDIA MARIA ANDRELLA
159097,MONGAGUÁ,GILMAR AGUIAR FREITAS,1,EMEIEF. PROF. CÉLIA PUPO DE JESUS
159110,MONGAGUÁ,GILMAR AGUIAR FREITAS,3,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
159112,MONGAGUÁ,GILMAR AGUIAR FREITAS,2,EMEF. PREFEITO CASSIMIRO CORREA NETO
159127,MONGAGUÁ,MARIA PAULA PEREIRA KOUKDJIAN,13,EMEIEF. PROF. CÉLIA PUPO DE JESUS
159145,MONGAGUÁ,MARIA PAULA PEREIRA KOUKDJIAN,7,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
159146,MONGAGUÁ,MARIA PAULA PEREIRA KOUKDJIAN,15,EMEF. PREFEITO CASSIMIRO CORREA NETO
159149,MONGAGUÁ,MARIA PAULA PEREIRA KOUKDJIAN,2,EMEIEF CLAUDIA MARIA ANDRELLA
160110,MONGAGUÁ,MARIA EUNICE OLIVEIRA DOS SANTOS,1,EMEF. PREFEITO CASSIMIRO CORREA NETO
162156,MONGAGUÁ,ALEXANDRE DA SILVA GUERRA,4,EE. PROF. ARACY DA SILVA FREITAS
162610,MONGAGUÁ,ALEXANDRE DA SILVA GUERRA,3,EMEF SIRANA KOUKDJIAN
162617,MONGAGUÁ,ALEXANDRE DA SILVA GUERRA,1,EMEF. JACOUB KOUKDJIAN
162619,MONGAGUÁ,ALEXANDRE DA SILVA GUERRA,2,EMEF. BARIGUI
163646,MONGAGUÁ,RENATO CARVALHO DONATO,3,EMEIEF. PROF. CÉLIA PUPO DE JESUS
163650,MONGAGUÁ,RENATO CARVALHO DONATO,3,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
