,NM_MUNICIPIO,DS_CARGO,NM_VOTAVEL,QT_VOTOS,NM_LOCAL_VOTACAO
33291,MONGAGUÁ,Vereador,VALTER CASSIMIRO DA CRUZ,1,EE. AGENOR DE CAMPOS
33984,MONGAGUÁ,Vereador,EDUARDO ALVES MENNUCCI,2,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
34166,MONGAGUÁ,Vereador,RANIEDSON FERNANDES DE LIMA,6,EMEF. IVONE DE ALMEIDA MONTEIRO
34313,MONGAGUÁ,Vereador,VALTER CASSIMIRO DA CRUZ,2,EE. AGENOR DE CAMPOS
34975,MONGAGUÁ,Vereador,EDUARDO ALVES MENNUCCI,1,EMEF. PREFEITO CASSIMIRO CORREA NETO
35292,MONGAGUÁ,Vereador,JOSÉ PEDRO FACCINA,2,EE. PROF. ARACY DA SILVA FREITAS
35832,MONGAGUÁ,Vereador,RANIEDSON FERNANDES DE LIMA,5,EMEIEF. PROF. CÉLIA PUPO DE JESUS
36289,MONGAGUÁ,Vereador,JOSÉ PEDRO FACCINA,2,EE. PROF. ARACY DA SILVA FREITAS
37225,MONGAGUÁ,Vereador,IVANALDO SANTANA DIAS,3,EMEF. IVONE DE ALMEIDA MONTEIRO
37379,MONGAGUÁ,Vereador,JOSIVALDO DE ALCANTARA,2,EMEF. PREFEITO CASSIMIRO CORREA NETO
39699,MONGAGUÁ,Vereador,RANIEDSON FERNANDES DE LIMA,5,EE. AGENOR DE CAMPOS
40372,MONGAGUÁ,Vereador,VITOR LUIZ RODRIGUES SERRANO,1,EMEF. BARIGUI
40645,MONGAGUÁ,Vereador,RANIEDSON FERNANDES DE LIMA,8,EE. PROF. AIDA LEDA BAUER DAVIES
41351,MONGAGUÁ,Vereador,VALTER CASSIMIRO DA CRUZ,1,EE. AGENOR DE CAMPOS
43376,MONGAGUÁ,Vereador,JOSÉ PEDRO FACCINA,7,EE. AGENOR DE CAMPOS
43505,MONGAGUÁ,Vereador,JOSÉ PEDRO FACCINA,3,EMEIEF. PEQUENO PRÍNCIPE
44012,MONGAGUÁ,Vereador,MARIA MADALENA BRITO GOMES,1,EMEF. VERA CRUZ
44210,MONGAGUÁ,Vereador,JOSIVALDO DE ALCANTARA,3,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
44364,MONGAGUÁ,Vereador,VALTER CASSIMIRO DA CRUZ,2,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
45525,MONGAGUÁ,Vereador,MARIA MADALENA BRITO GOMES,5,EMEIEF. PEQUENO PRÍNCIPE
45984,MONGAGUÁ,Vereador,VANELITO DE JESUS,5,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
46174,MONGAGUÁ,Vereador,RANIEDSON FERNANDES DE LIMA,5,EMEF. IVONE DE ALMEIDA MONTEIRO
46701,MONGAGUÁ,Vereador,RANIEDSON FERNANDES DE LIMA,7,EMEF. TONICO SILVA
47220,MONGAGUÁ,Vereador,JOÃO CARLOS BATISTA DE SOUZA,2,EE. AGENOR DE CAMPOS
47726,MONGAGUÁ,Vereador,JOSIVALDO DE ALCANTARA,2,EMEF. VERA CRUZ
48980,MONGAGUÁ,Vereador,SÉRGIO MARTINS DA SILVA,1,EMEF. VERA CRUZ
49271,MONGAGUÁ,Vereador,IVANALDO SANTANA DIAS,2,EMEIEF. PEQUENO PRÍNCIPE
49401,MONGAGUÁ,Vereador,JOSÉ PEDRO FACCINA,3,EMEF. PREFEITO CASSIMIRO CORREA NETO
49733,MONGAGUÁ,Vereador,ANA PAULA DE FREITAS MIRANDA,2,EMEIEF. PROF. CÉLIA PUPO DE JESUS
49735,MONGAGUÁ,Vereador,JOÃO CARLOS BATISTA DE SOUZA,2,EMEIEF. PROF. CÉLIA PUPO DE JESUS
51228,MONGAGUÁ,Vereador,JOSIVALDO DE ALCANTARA,4,EMEF. VERA CRUZ
54207,MONGAGUÁ,Vereador,JOÃO CARLOS BATISTA DE SOUZA,4,EE. PROF. ARACY DA SILVA FREITAS
55407,MONGAGUÁ,Vereador,GILSON PEREIRA DA SILVA,2,EMEF. PREFEITO CASSIMIRO CORREA NETO
66615,MONGAGUÁ,Prefeito,RODRIGO CARDOSO BIAGIONI,96,EMEF. TONICO SILVA
67094,MONGAGUÁ,Prefeito,RODRIGO CARDOSO BIAGIONI,102,EMEF. REGINA MARIA
68629,MONGAGUÁ,Prefeito,RODRIGO CARDOSO BIAGIONI,111,EMEF. JACOUB KOUKDJIAN
70647,MONGAGUÁ,Prefeito,RODRIGO CARDOSO BIAGIONI,96,EMEF. REGINA MARIA
73151,MONGAGUÁ,Prefeito,RODRIGO CARDOSO BIAGIONI,87,EE. PROF. ARACY DA SILVA FREITAS
79225,MONGAGUÁ,Prefeito,RENATO CARVALHO DONATO,42,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
79231,MONGAGUÁ,Prefeito,RENATO CARVALHO DONATO,33,EMEF. PREFEITO CASSIMIRO CORREA NETO
83644,MONGAGUÁ,Vereador,ROSANA ZANELLI DE ALCANTARA,1,EMEF. VERA CRUZ
83706,MONGAGUÁ,Vereador,FERNANDO FELIZI,5,EMEF. TONICO SILVA
86183,MONGAGUÁ,Vereador,FERNANDO FELIZI,3,EMEF. JACOUB KOUKDJIAN
89669,MONGAGUÁ,Vereador,JOSÉ CARLOS DOS SANTOS,10,EMEF. BARIGUI
90519,MONGAGUÁ,Vereador,JOÃO CARLOS BATISTA DE SOUZA,1,EE. AGENOR DE CAMPOS
91012,MONGAGUÁ,Vereador,JOÃO CARLOS BATISTA DE SOUZA,4,EE. PROF. AIDA LEDA BAUER DAVIES
91327,MONGAGUÁ,Vereador,JOSÉ CARLOS DOS SANTOS,6,EMEF. REGINA MARIA
91362,MONGAGUÁ,Vereador,RODOLFO MARCELINO DO CARMO,1,EMEIEF. PEQUENO PRÍNCIPE
95051,MONGAGUÁ,Vereador,JOÃO CARLOS BATISTA DE SOUZA,1,EMEF. IVONE DE ALMEIDA MONTEIRO
96045,MONGAGUÁ,Vereador,JOÃO CARLOS BATISTA DE SOUZA,2,EMEF. TONICO SILVA
97208,MONGAGUÁ,Vereador,IVAN BISPO DOS SANTOS,3,EMEIEF. PEQUENO PRÍNCIPE
98196,MONGAGUÁ,Vereador,JOSIVALDO DE ALCANTARA,6,EMEF. IVONE DE ALMEIDA MONTEIRO
99734,MONGAGUÁ,Vereador,ANDREA APARECIDA INDRIGO,1,EMEF. VERA CRUZ
101773,MONGAGUÁ,Vereador,MAURÍCIO DE ZAGIACOMO,1,EMEF. PROF. PEDRO FERNANDES DANTE
101977,MONGAGUÁ,Vereador,SILVANA ALVES MOREIRA DOS SANTOS,1,EMEIEF. PEQUENO PRÍNCIPE
104716,MONGAGUÁ,Vereador,MAISA GRILLO DA SILVA,1,EE. PROF. ARACY DA SILVA FREITAS
104782,MONGAGUÁ,Vereador,ELISANGELA DE MOURA VALESI,1,EMEF. PROF. PEDRO FERNANDES DANTE
106190,MONGAGUÁ,Vereador,JOSE ENILDO DE SOUZA,1,EMEF. REGINA MARIA
107559,MONGAGUÁ,Vereador,ROGÉRIO SIMÕES DE ARAÚJO,4,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
110262,MONGAGUÁ,Vereador,JOSIVALDO DE ALCANTARA,1,EE. PROF. ARACY DA SILVA FREITAS
110601,MONGAGUÁ,Vereador,ROGÉRIO SIMÕES DE ARAÚJO,3,EMEF. VERA CRUZ
111832,MONGAGUÁ,Vereador,FELIPPE PEDRO TEIXEIRA SILVA,2,EMEF. IVONE DE ALMEIDA MONTEIRO
113597,MONGAGUÁ,Vereador,ROGÉRIO SIMÕES DE ARAÚJO,1,EMEF. VERA CRUZ
116722,MONGAGUÁ,Vereador,EMILIO FERNANDO GONÇALVES JARDIM,2,EMEF. REGINA MARIA
121262,MONGAGUÁ,Vereador,RODOLFO MARCELINO DO CARMO,1,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
122215,MONGAGUÁ,Vereador,JOÃO CARLOS BATISTA DE SOUZA,3,EMEF SIRANA KOUKDJIAN
122732,MONGAGUÁ,Vereador,CARLOS JACO ROCHA,8,EMEF. JACOUB KOUKDJIAN
125166,MONGAGUÁ,Vereador,JOSÉ CARLOS DOS SANTOS,6,EMEF. REGINA MARIA
129154,MONGAGUÁ,Vereador,EDUARDO ALVES MENNUCCI,3,EMEIEF. PEQUENO PRÍNCIPE
129629,MONGAGUÁ,Vereador,MARCUS VINICIUS PEREIRA,1,EMEF. BARIGUI
130076,MONGAGUÁ,Vereador,MARIA DANIELA NOGUEIRA DONI,1,EMEIEF. PROF. CÉLIA PUPO DE JESUS
132169,MONGAGUÁ,Vereador,EDUARDO ALVES MENNUCCI,2,EE. PROF. AIDA LEDA BAUER DAVIES
132472,MONGAGUÁ,Vereador,VITOR LUIZ RODRIGUES SERRANO,1,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
132492,MONGAGUÁ,Vereador,JOSIVALDO DE ALCANTARA,2,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
133511,MONGAGUÁ,Vereador,SILVANA ALVES MOREIRA DOS SANTOS,1,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
134098,MONGAGUÁ,Vereador,ANDRÉ ALVES DOS SANTOS,1,EMEF. PROF. PEDRO FERNANDES DANTE
138519,MONGAGUÁ,Vereador,MARIA DANIELA NOGUEIRA DONI,1,EE. AGENOR DE CAMPOS
138738,MONGAGUÁ,Vereador,JOÃO CARLOS BATISTA DE SOUZA,3,EE. PROF. ARACY DA SILVA FREITAS
138778,MONGAGUÁ,Vereador,CARLOS JACO ROCHA,5,EE. AGENOR DE CAMPOS
139411,MONGAGUÁ,Vereador,VANELITO DE JESUS,2,EE. PROF. ARACY DA SILVA FREITAS
140469,MONGAGUÁ,Vereador,RODOLFO MARCELINO DO CARMO,2,EE. PROF. AIDA LEDA BAUER DAVIES
141234,MONGAGUÁ,Vereador,ROSANA ZANELLI DE ALCANTARA,2,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
144375,MONGAGUÁ,Vereador,JOSÉ PEDRO FACCINA,3,EMEF. IVONE DE ALMEIDA MONTEIRO
144731,MONGAGUÁ,Vereador,ROSANA ZANELLI DE ALCANTARA,1,EMEF. PREFEITO CASSIMIRO CORREA NETO
146340,MONGAGUÁ,Prefeito,RODRIGO CARDOSO BIAGIONI,135,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
148561,MONGAGUÁ,Vereador,SÉRGIO ELIAS DE CARVALHO,1,EMEF. REGINA MARIA
148858,MONGAGUÁ,Prefeito,RODRIGO CARDOSO BIAGIONI,48,EMEIEF SÍTIO DO PICA PAU AMARELO
150638,MONGAGUÁ,Vereador,RANIEDSON FERNANDES DE LIMA,3,EMEF. REGINA MARIA
152143,MONGAGUÁ,Vereador,RANIEDSON FERNANDES DE LIMA,8,EMEF. IVONE DE ALMEIDA MONTEIRO
152314,MONGAGUÁ,Vereador,FERNANDO FELIZI,4,EE. PROF. ARACY DA SILVA FREITAS
152787,MONGAGUÁ,Vereador,FERNANDO FELIZI,1,EE. AGENOR DE CAMPOS
152832,MONGAGUÁ,Prefeito,RODRIGO CARDOSO BIAGIONI,129,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
152841,MONGAGUÁ,Prefeito,RODRIGO CARDOSO BIAGIONI,101,EMEF. FLÓRIDA MIRIM
158253,MONGAGUÁ,Vereador,JOSÉ PEDRO FACCINA,5,EMEF. PROF. PEDRO FERNANDES DANTE
158995,MONGAGUÁ,Vereador,CARLOS JACO ROCHA,11,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
161075,MONGAGUÁ,Vereador,IVANALDO SANTANA DIAS,2,EMEF. REGINA MARIA
161485,MONGAGUÁ,Vereador,IVANALDO SANTANA DIAS,1,EMEF. BARIGUI
161987,MONGAGUÁ,Vereador,CARLOS JACO ROCHA,5,EMEF. VERA CRUZ
163916,MONGAGUÁ,Vereador,VANELITO DE JESUS,9,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
164470,MONGAGUÁ,Vereador,CARLOS JACO ROCHA,6,EMEF. VERA CRUZ
164973,MONGAGUÁ,Vereador,IVANALDO SANTANA DIAS,1,EMEF. BARIGUI
165423,MONGAGUÁ,Vereador,VANELITO DE JESUS,1,EMEF. FLÓRIDA MIRIM
165554,MONGAGUÁ,Vereador,IVANALDO SANTANA DIAS,1,EE. PROF. ARACY DA SILVA FREITAS
165975,MONGAGUÁ,Vereador,CARLOS JACO ROCHA,9,EMEF. BARIGUI
167724,MONGAGUÁ,Vereador,BALBINO FERREIRA DE JESUS,2,EMEF. TONICO SILVA
168527,MONGAGUÁ,Vereador,IVANALDO SANTANA DIAS,2,EMEF. VERA CRUZ
168563,MONGAGUÁ,Vereador,IVANALDO SANTANA DIAS,1,EMEF. IVONE DE ALMEIDA MONTEIRO
169042,MONGAGUÁ,Vereador,IVANALDO SANTANA DIAS,2,EMEIEF. PEQUENO PRÍNCIPE
169397,MONGAGUÁ,Vereador,RANIEDSON FERNANDES DE LIMA,1,EMEF. FLÓRIDA MIRIM
169580,MONGAGUÁ,Vereador,ROSANA ZANELLI DE ALCANTARA,1,EE. PROF. ARACY DA SILVA FREITAS
171052,MONGAGUÁ,Vereador,ROSANA ZANELLI DE ALCANTARA,4,EE. PROF. ARACY DA SILVA FREITAS
171259,MONGAGUÁ,Vereador,JOSÉ PEDRO FACCINA,1,EMEF. VERA CRUZ
171270,MONGAGUÁ,Vereador,BALBINO FERREIRA DE JESUS,2,EMEF. PREFEITO CASSIMIRO CORREA NETO
171280,MONGAGUÁ,Vereador,GILSON PEREIRA DA SILVA,1,EMEIEF. PROF. CÉLIA PUPO DE JESUS
172422,MONGAGUÁ,Prefeito,RODRIGO CARDOSO BIAGIONI,114,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
172555,MONGAGUÁ,Vereador,ROSANA ZANELLI DE ALCANTARA,1,EMEF. PROF. PEDRO FERNANDES DANTE
172941,MONGAGUÁ,Prefeito,RODRIGO CARDOSO BIAGIONI,82,EMEF. TONICO SILVA
173088,MONGAGUÁ,Vereador,IVANALDO SANTANA DIAS,3,EMEF. JACOUB KOUKDJIAN
174088,MONGAGUÁ,Vereador,ADRIANO DONATTI DE SOUZA,2,EMEF. IVONE DE ALMEIDA MONTEIRO
174294,MONGAGUÁ,Vereador,MARCELO ALIENDE DE ZAGIACOMO,1,EMEF. IVONE DE ALMEIDA MONTEIRO
174445,MONGAGUÁ,Prefeito,RODRIGO CARDOSO BIAGIONI,100,EE. PROF. AIDA LEDA BAUER DAVIES
174455,MONGAGUÁ,Prefeito,RODRIGO CARDOSO BIAGIONI,124,EE. AGENOR DE CAMPOS
175469,MONGAGUÁ,Prefeito,RODRIGO CARDOSO BIAGIONI,136,EMEF. PREFEITO CASSIMIRO CORREA NETO
175982,MONGAGUÁ,Prefeito,RODRIGO CARDOSO BIAGIONI,110,EMEF. IVONE DE ALMEIDA MONTEIRO
176954,MONGAGUÁ,Prefeito,RODRIGO CARDOSO BIAGIONI,131,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
178823,MONGAGUÁ,Vereador,CARLOS JACO ROCHA,5,EE. PROF. ARACY DA SILVA FREITAS
180330,MONGAGUÁ,Vereador,CARLOS JACO ROCHA,2,EE. PROF. ARACY DA SILVA FREITAS
182799,MONGAGUÁ,Vereador,CARLOS JACO ROCHA,14,EMEF. PROF. PEDRO FERNANDES DANTE
185524,MONGAGUÁ,Prefeito,RODRIGO CARDOSO BIAGIONI,98,EMEF. TONICO SILVA
186998,MONGAGUÁ,Prefeito,RODRIGO CARDOSO BIAGIONI,96,EE. AGENOR DE CAMPOS
187545,MONGAGUÁ,Prefeito,RODRIGO CARDOSO BIAGIONI,94,EE. PROF. AIDA LEDA BAUER DAVIES
189998,MONGAGUÁ,Prefeito,RODRIGO CARDOSO BIAGIONI,112,EMEIEF. PEQUENO PRÍNCIPE
190494,MONGAGUÁ,Prefeito,RODRIGO CARDOSO BIAGIONI,106,EMEF. FLÓRIDA MIRIM
191562,MONGAGUÁ,Prefeito,RODRIGO CARDOSO BIAGIONI,93,EMEF. VERA CRUZ
193102,MONGAGUÁ,Prefeito,RODRIGO CARDOSO BIAGIONI,89,EE. AGENOR DE CAMPOS
194682,MONGAGUÁ,Vereador,JOSÉ CARLOS DOS SANTOS,2,EMEIEF. PEQUENO PRÍNCIPE
198290,MONGAGUÁ,Prefeito,RENATO CARVALHO DONATO,29,EMEF. IVONE DE ALMEIDA MONTEIRO
199205,MONGAGUÁ,Vereador,JOSÉ CARLOS DOS SANTOS,2,EMEF. IVONE DE ALMEIDA MONTEIRO
199304,MONGAGUÁ,Prefeito,RENATO CARVALHO DONATO,38,EMEIEF. PEQUENO PRÍNCIPE
206524,MONGAGUÁ,Vereador,RANIEDSON FERNANDES DE LIMA,7,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
209040,MONGAGUÁ,Vereador,RANIEDSON FERNANDES DE LIMA,1,EMEF. FLÓRIDA MIRIM
209273,MONGAGUÁ,Vereador,ROSANA ZANELLI DE ALCANTARA,2,EMEIEF. PROF. CÉLIA PUPO DE JESUS
209348,MONGAGUÁ,Vereador,DAVID JOSÉ DOS SANTOS,2,EMEF. REGINA MARIA
209763,MONGAGUÁ,Vereador,JOSÉ CARLOS DOS SANTOS,2,EMEIEF. PEQUENO PRÍNCIPE
211265,MONGAGUÁ,Vereador,ROSANA ZANELLI DE ALCANTARA,1,EE. AGENOR DE CAMPOS
211266,MONGAGUÁ,Vereador,ROSANA ZANELLI DE ALCANTARA,1,EMEF. IVONE DE ALMEIDA MONTEIRO
212278,MONGAGUÁ,Vereador,RODOLFO MARCELINO DO CARMO,1,EMEIEF. PEQUENO PRÍNCIPE
212659,MONGAGUÁ,Vereador,WILLIAN DO NASCIMENTO AMORIM,4,EMEF. VERA CRUZ
213281,MONGAGUÁ,Vereador,JOSÉ CARLOS DOS SANTOS,2,EE. PROF. AIDA LEDA BAUER DAVIES
213455,MONGAGUÁ,Vereador,ROGÉRIO SIMÕES DE ARAÚJO,2,EMEF. VERA CRUZ
217997,MONGAGUÁ,Vereador,ELIETE MIRANDA CRUZ DOS SANTOS,1,EE. AGENOR DE CAMPOS
221554,MONGAGUÁ,Vereador,RANIEDSON FERNANDES DE LIMA,6,EE. PROF. ARACY DA SILVA FREITAS
224482,MONGAGUÁ,Vereador,JOSIVALDO DE ALCANTARA,3,EMEF. IVONE DE ALMEIDA MONTEIRO
225598,MONGAGUÁ,Vereador,JOSIVALDO DE ALCANTARA,2,EMEF. VERA CRUZ
228589,MONGAGUÁ,Vereador,JOÃO CARLOS BATISTA DE SOUZA,2,EMEIEF. PROF. CÉLIA PUPO DE JESUS
228649,MONGAGUÁ,Prefeito,MÁRCIO MELO GOMES,115,EMEF. IVONE DE ALMEIDA MONTEIRO
229025,MONGAGUÁ,Vereador,JOSIVALDO DE ALCANTARA,1,EMEF SIRANA KOUKDJIAN
229483,MONGAGUÁ,Vereador,LUIZ GREGÓRIO AMARO,1,EMEF. VERA CRUZ
229621,MONGAGUÁ,Vereador,JOÃO CARLOS BATISTA DE SOUZA,3,EMEF. IVONE DE ALMEIDA MONTEIRO
229647,MONGAGUÁ,Prefeito,MÁRCIO MELO GOMES,124,EMEIEF. PROF. CÉLIA PUPO DE JESUS
230187,MONGAGUÁ,Prefeito,MÁRCIO MELO GOMES,82,EMEF. PROF. PEDRO FERNANDES DANTE
230549,MONGAGUÁ,Vereador,JOSIVALDO DE ALCANTARA,1,EMEF. VERA CRUZ
232432,MONGAGUÁ,Vereador,RODOLFO MARCELINO DO CARMO,4,EMEF SIRANA KOUKDJIAN
232899,MONGAGUÁ,Vereador,VITOR LUIZ RODRIGUES SERRANO,1,EE. AGENOR DE CAMPOS
233092,MONGAGUÁ,Vereador,RANIEDSON FERNANDES DE LIMA,6,EMEF. REGINA MARIA
233684,MONGAGUÁ,Prefeito,MÁRCIO MELO GOMES,92,EMEF. PROF. PEDRO FERNANDES DANTE
233919,MONGAGUÁ,Vereador,RODOLFO MARCELINO DO CARMO,2,EMEF. VERA CRUZ
234075,MONGAGUÁ,Vereador,VITOR LUIZ RODRIGUES SERRANO,2,EE. PROF. ARACY DA SILVA FREITAS
234605,MONGAGUÁ,Vereador,JOÃO CARLOS BATISTA DE SOUZA,3,EMEF. PROF. PEDRO FERNANDES DANTE
234606,MONGAGUÁ,Vereador,ANA PAULA DE FREITAS MIRANDA,1,EMEF. PROF. PEDRO FERNANDES DANTE
234646,MONGAGUÁ,Vereador,RANIEDSON FERNANDES DE LIMA,4,EMEF. REGINA MARIA
234710,MONGAGUÁ,Prefeito,MÁRCIO MELO GOMES,130,EE. AGENOR DE CAMPOS
235082,MONGAGUÁ,Vereador,JOSIVALDO DE ALCANTARA,1,EE. PROF. ARACY DA SILVA FREITAS
235485,MONGAGUÁ,Vereador,DAVID JOSÉ DOS SANTOS,1,EE. AGENOR DE CAMPOS
236040,MONGAGUÁ,Vereador,RANIEDSON FERNANDES DE LIMA,3,EMEF. IVONE DE ALMEIDA MONTEIRO
237174,MONGAGUÁ,Prefeito,MÁRCIO MELO GOMES,90,EE. AGENOR DE CAMPOS
237696,MONGAGUÁ,Prefeito,MÁRCIO MELO GOMES,130,EE. PROF. ARACY DA SILVA FREITAS
237932,MONGAGUÁ,Vereador,CARLOS JACO ROCHA,2,EMEIEF. PEQUENO PRÍNCIPE
238676,MONGAGUÁ,Prefeito,MÁRCIO MELO GOMES,116,EMEIEF. PROF. CÉLIA PUPO DE JESUS
241216,MONGAGUÁ,Prefeito,MÁRCIO MELO GOMES,127,EMEF. REGINA MARIA
241607,MONGAGUÁ,Vereador,SÉRGIO ELIAS DE CARVALHO,1,EMEF. REGINA MARIA
241651,MONGAGUÁ,Prefeito,VOTO BRANCO,5,EMEF. BARIGUI
241694,MONGAGUÁ,Prefeito,MÁRCIO MELO GOMES,120,EMEF. REGINA MARIA
243749,MONGAGUÁ,Prefeito,MÁRCIO MELO GOMES,107,EE. AGENOR DE CAMPOS
244042,MONGAGUÁ,Vereador,VITOR LUIZ RODRIGUES SERRANO,1,EMEF. PREFEITO CASSIMIRO CORREA NETO
244557,MONGAGUÁ,Vereador,JOSIVALDO DE ALCANTARA,1,EMEF. PREFEITO CASSIMIRO CORREA NETO
244727,MONGAGUÁ,Prefeito,MÁRCIO MELO GOMES,148,EE. PROF. AIDA LEDA BAUER DAVIES
245183,MONGAGUÁ,Prefeito,VOTO BRANCO,15,EMEF. BARIGUI
245549,MONGAGUÁ,Vereador,RODOLFO MARCELINO DO CARMO,1,EMEF. TONICO SILVA
245782,MONGAGUÁ,Prefeito,MÁRCIO MELO GOMES,117,EMEF. IVONE DE ALMEIDA MONTEIRO
246200,MONGAGUÁ,Prefeito,VOTO BRANCO,11,EMEF. VERA CRUZ
246280,MONGAGUÁ,Prefeito,MÁRCIO MELO GOMES,130,EMEF. TONICO SILVA
246709,MONGAGUÁ,Prefeito,VOTO BRANCO,12,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
246903,MONGAGUÁ,Vereador,RANIEDSON FERNANDES DE LIMA,5,EE. PROF. AIDA LEDA BAUER DAVIES
247712,MONGAGUÁ,Prefeito,VOTO BRANCO,10,EMEF. VERA CRUZ
248222,MONGAGUÁ,Prefeito,VOTO BRANCO,7,EMEF. VERA CRUZ
252112,MONGAGUÁ,Vereador,RODOLFO MARCELINO DO CARMO,1,EE. PROF. AIDA LEDA BAUER DAVIES
252317,MONGAGUÁ,Vereador,IVANALDO SANTANA DIAS,1,EMEIEF. PEQUENO PRÍNCIPE
254314,MONGAGUÁ,Vereador,IVANALDO SANTANA DIAS,1,EE. PROF. AIDA LEDA BAUER DAVIES
254622,MONGAGUÁ,Vereador,SILVANA ALVES MOREIRA DOS SANTOS,1,EMEF. PREFEITO CASSIMIRO CORREA NETO
