,NM_MUNICIPIO,NM_VOTAVEL,QT_VOTOS,NM_LOCAL_VOTACAO
565412,MONGAGUÁ,PAULO WIAZOWSKI FILHO,127,EMEIEF CLAUDIA MARIA ANDRELLA
565413,MONGAGUÁ,PAULO WIAZOWSKI FILHO,89,EE. PROF. ARACY DA SILVA FREITAS
566385,MONGAGUÁ,PAULO WIAZOWSKI FILHO,137,EMEF. BARIGUI
566386,MONGAGUÁ,PAULO WIAZOWSKI FILHO,109,EMEIEF. PROF. CÉLIA PUPO DE JESUS
566387,MONGAGUÁ,PAULO WIAZOWSKI FILHO,80,EMEIEF. PROF. CÉLIA PUPO DE JESUS
566388,MONGAGUÁ,PAULO WIAZOWSKI FILHO,110,EMEF SIRANA KOUKDJIAN
566389,MONGAGUÁ,PAULO WIAZOWSKI FILHO,97,EMEF. PROF. PEDRO FERNANDES DANTE
566915,MONGAGUÁ,PAULO WIAZOWSKI FILHO,104,EMEIEF CLAUDIA MARIA ANDRELLA
566916,MONGAGUÁ,PAULO WIAZOWSKI FILHO,83,EMEF. PREFEITO CASSIMIRO CORREA NETO
567408,MONGAGUÁ,PAULO WIAZOWSKI FILHO,125,EMEIEF CLAUDIA MARIA ANDRELLA
567409,MONGAGUÁ,PAULO WIAZOWSKI FILHO,101,EMEF. PROF. PEDRO FERNANDES DANTE
567918,MONGAGUÁ,PAULO WIAZOWSKI FILHO,99,EMEIEF. PEQUENO PRÍNCIPE
567922,MONGAGUÁ,PAULO WIAZOWSKI FILHO,75,EMEF. PREFEITO CASSIMIRO CORREA NETO
568448,MONGAGUÁ,PAULO WIAZOWSKI FILHO,84,EMEF SIRANA KOUKDJIAN
568449,MONGAGUÁ,PAULO WIAZOWSKI FILHO,102,EMEIEF CLAUDIA MARIA ANDRELLA
568948,MONGAGUÁ,PAULO WIAZOWSKI FILHO,108,EMEF. PROF. PEDRO FERNANDES DANTE
569946,MONGAGUÁ,PAULO WIAZOWSKI FILHO,106,EMEIEF CLAUDIA MARIA ANDRELLA
569947,MONGAGUÁ,PAULO WIAZOWSKI FILHO,116,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
569948,MONGAGUÁ,PAULO WIAZOWSKI FILHO,111,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
570943,MONGAGUÁ,PAULO WIAZOWSKI FILHO,110,EMEIEF. PEQUENO PRÍNCIPE
570944,MONGAGUÁ,PAULO WIAZOWSKI FILHO,101,EMEF. FLÓRIDA MIRIM
570945,MONGAGUÁ,PAULO WIAZOWSKI FILHO,97,EMEF. IVONE DE ALMEIDA MONTEIRO
570946,MONGAGUÁ,PAULO WIAZOWSKI FILHO,99,EE. AGENOR DE CAMPOS
571475,MONGAGUÁ,PAULO WIAZOWSKI FILHO,114,EE. PROF. ARACY DA SILVA FREITAS
571476,MONGAGUÁ,PAULO WIAZOWSKI FILHO,90,EMEIEF. PROF. CÉLIA PUPO DE JESUS
571994,MONGAGUÁ,PAULO WIAZOWSKI FILHO,107,EMEF. JACOUB KOUKDJIAN
707914,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,80,EE. PROF. ARACY DA SILVA FREITAS
707915,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,33,EMEF SIRANA KOUKDJIAN
707916,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,69,EMEF. JACOUB KOUKDJIAN
707917,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,52,EMEF. BARIGUI
711450,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,72,EMEIEF. PEQUENO PRÍNCIPE
718434,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,65,EMEF. TONICO SILVA
718435,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,62,EMEF. BARIGUI
718436,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,70,EMEF SIRANA KOUKDJIAN
718437,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,67,EE. PROF. ARACY DA SILVA FREITAS
725979,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,62,EMEIEF. PEQUENO PRÍNCIPE
725980,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,75,EMEIEF. PEQUENO PRÍNCIPE
725981,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,59,EMEIEF. PROF. CÉLIA PUPO DE JESUS
727959,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,69,EMEF. PROF. PEDRO FERNANDES DANTE
729014,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,80,EMEF. PROF. PEDRO FERNANDES DANTE
729015,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,87,EE. PROF. ARACY DA SILVA FREITAS
731486,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,90,EMEF SIRANA KOUKDJIAN
731487,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,62,EMEIEF. PROF. CÉLIA PUPO DE JESUS
733510,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,67,EE. PROF. AIDA LEDA BAUER DAVIES
735513,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,58,EMEF. JACOUB KOUKDJIAN
735514,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,79,EMEF VEREADOR GIVALDO ALVES GOMES
735515,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,60,EE. AGENOR DE CAMPOS
735516,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,65,EMEIEF CLAUDIA MARIA ANDRELLA
738489,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,59,EMEF. JACOUB KOUKDJIAN
738490,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,74,EMEF. IVONE DE ALMEIDA MONTEIRO
738491,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,85,EMEF. TONICO SILVA
739010,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,78,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
740991,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,76,EMEF. TONICO SILVA
740992,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,77,EMEF. PREFEITO CASSIMIRO CORREA NETO
743018,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,88,EMEIEF SÍTIO DO PICA PAU AMARELO
743019,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,47,EMEF. PREFEITO CASSIMIRO CORREA NETO
743020,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,63,EMEIEF. PEQUENO PRÍNCIPE
744545,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,79,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
744546,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,57,EMEIEF. PEQUENO PRÍNCIPE
746029,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,66,EMEF. BARIGUI
748029,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,62,EMEIEF. PROF. CÉLIA PUPO DE JESUS
748030,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,83,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
748031,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,54,EMEF. PREFEITO CASSIMIRO CORREA NETO
748032,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,57,EMEIEF CLAUDIA MARIA ANDRELLA
750071,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,51,EMEIEF CLAUDIA MARIA ANDRELLA
750072,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,88,EE. PROF. ARACY DA SILVA FREITAS
751582,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,57,EMEF. BARIGUI
751583,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,68,EMEIEF. PROF. CÉLIA PUPO DE JESUS
751584,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,58,EMEIEF. PROF. CÉLIA PUPO DE JESUS
751585,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,60,EMEF SIRANA KOUKDJIAN
751586,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,76,EMEF. PROF. PEDRO FERNANDES DANTE
753558,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,62,EMEIEF CLAUDIA MARIA ANDRELLA
753559,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,80,EMEF. PREFEITO CASSIMIRO CORREA NETO
755546,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,59,EMEIEF CLAUDIA MARIA ANDRELLA
755547,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,61,EMEF. PROF. PEDRO FERNANDES DANTE
757087,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,60,EMEIEF. PEQUENO PRÍNCIPE
757088,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,64,EMEF. PREFEITO CASSIMIRO CORREA NETO
759078,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,57,EMEF SIRANA KOUKDJIAN
759079,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,65,EMEIEF CLAUDIA MARIA ANDRELLA
761050,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,71,EMEF. PROF. PEDRO FERNANDES DANTE
762582,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,63,EMEIEF CLAUDIA MARIA ANDRELLA
762583,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,75,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
762584,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,94,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
765561,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,85,EE. PROF. ARACY DA SILVA FREITAS
765562,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,63,EMEIEF. PROF. CÉLIA PUPO DE JESUS
767616,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,82,EMEF. JACOUB KOUKDJIAN
772119,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,71,EMEF. PROF. PEDRO FERNANDES DANTE
774156,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,69,EMEF SIRANA KOUKDJIAN
775640,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,63,EMEF SIRANA KOUKDJIAN
775641,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,75,EE. PROF. AIDA LEDA BAUER DAVIES
775642,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,69,EMEF. JACOUB KOUKDJIAN
775643,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,59,EMEIEF. PEQUENO PRÍNCIPE
775644,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,81,EMEF. JACOUB KOUKDJIAN
777663,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,69,EMEF SIRANA KOUKDJIAN
777664,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,64,EMEF. FLÓRIDA MIRIM
777665,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,67,EMEIEF CLAUDIA MARIA ANDRELLA
777666,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,86,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
780163,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,72,EMEIEF CLAUDIA MARIA ANDRELLA
780164,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,63,EMEF. IVONE DE ALMEIDA MONTEIRO
780165,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,61,EMEF. BARIGUI
780166,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,63,EMEF. IVONE DE ALMEIDA MONTEIRO
783129,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,69,EMEF. PREFEITO CASSIMIRO CORREA NETO
783130,MONGAGUÁ,RODRIGO CARDOSO BIAGIONI,61,EMEF. PROF. PEDRO FERNANDES DANTE
