,NM_MUNICIPIO,NM_VOTAVEL,QT_VOTOS,NM_LOCAL_VOTACAO
99734,MONGAGUÁ,ANDREA APARECIDA INDRIGO,1,EMEF. VERA CRUZ
101773,MONGAGUÁ,MAURÍCIO DE ZAGIACOMO,1,EMEF. PROF. PEDRO FERNANDES DANTE
101977,MONGAGUÁ,SILVANA ALVES MOREIRA DOS SANTOS,1,EMEIEF. PEQUENO PRÍNCIPE
104716,MONGAGUÁ,MAISA GRILLO DA SILVA,1,EE. PROF. ARACY DA SILVA FREITAS
104782,MONGAGUÁ,ELISANGELA DE MOURA VALESI,1,EMEF. PROF. PEDRO FERNANDES DANTE
106190,MONGAGUÁ,JOSE ENILDO DE SOUZA,1,EMEF. REGINA MARIA
107559,MONGAGUÁ,ROGÉRIO SIMÕES DE ARAÚJO,4,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
110262,MONGAGUÁ,JOSIVALDO DE ALCANTARA,1,EE. PROF. ARACY DA SILVA FREITAS
110601,MONGAGUÁ,ROGÉRIO SIMÕES DE ARAÚJO,3,EMEF. VERA CRUZ
111832,MONGAGUÁ,FELIPPE PEDRO TEIXEIRA SILVA,2,EMEF. IVONE DE ALMEIDA MONTEIRO
113597,MONGAGUÁ,ROGÉRIO SIMÕES DE ARAÚJO,1,EMEF. VERA CRUZ
116722,MONGAGUÁ,EMILIO FERNANDO GONÇALVES JARDIM,2,EMEF. REGINA MARIA
121262,MONGAGUÁ,RODOLFO MARCELINO DO CARMO,1,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
122215,MONGAGUÁ,JOÃO CARLOS BATISTA DE SOUZA,3,EMEF SIRANA KOUKDJIAN
122732,MONGAGUÁ,CARLOS JACO ROCHA,8,EMEF. JACOUB KOUKDJIAN
125166,MONGAGUÁ,JOSÉ CARLOS DOS SANTOS,6,EMEF. REGINA MARIA
129154,MONGAGUÁ,EDUARDO ALVES MENNUCCI,3,EMEIEF. PEQUENO PRÍNCIPE
129629,MONGAGUÁ,MARCUS VINICIUS PEREIRA,1,EMEF. BARIGUI
130076,MONGAGUÁ,MARIA DANIELA NOGUEIRA DONI,1,EMEIEF. PROF. CÉLIA PUPO DE JESUS
132169,MONGAGUÁ,EDUARDO ALVES MENNUCCI,2,EE. PROF. AIDA LEDA BAUER DAVIES
132472,MONGAGUÁ,VITOR LUIZ RODRIGUES SERRANO,1,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
132492,MONGAGUÁ,JOSIVALDO DE ALCANTARA,2,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
133511,MONGAGUÁ,SILVANA ALVES MOREIRA DOS SANTOS,1,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
134098,MONGAGUÁ,ANDRÉ ALVES DOS SANTOS,1,EMEF. PROF. PEDRO FERNANDES DANTE
138519,MONGAGUÁ,MARIA DANIELA NOGUEIRA DONI,1,EE. AGENOR DE CAMPOS
138738,MONGAGUÁ,JOÃO CARLOS BATISTA DE SOUZA,3,EE. PROF. ARACY DA SILVA FREITAS
138778,MONGAGUÁ,CARLOS JACO ROCHA,5,EE. AGENOR DE CAMPOS
139411,MONGAGUÁ,VANELITO DE JESUS,2,EE. PROF. ARACY DA SILVA FREITAS
140469,MONGAGUÁ,RODOLFO MARCELINO DO CARMO,2,EE. PROF. AIDA LEDA BAUER DAVIES
141234,MONGAGUÁ,ROSANA ZANELLI DE ALCANTARA,2,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
144375,MONGAGUÁ,JOSÉ PEDRO FACCINA,3,EMEF. IVONE DE ALMEIDA MONTEIRO
144731,MONGAGUÁ,ROSANA ZANELLI DE ALCANTARA,1,EMEF. PREFEITO CASSIMIRO CORREA NETO
148561,MONGAGUÁ,SÉRGIO ELIAS DE CARVALHO,1,EMEF. REGINA MARIA
150638,MONGAGUÁ,RANIEDSON FERNANDES DE LIMA,3,EMEF. REGINA MARIA
152143,MONGAGUÁ,RANIEDSON FERNANDES DE LIMA,8,EMEF. IVONE DE ALMEIDA MONTEIRO
152314,MONGAGUÁ,FERNANDO FELIZI,4,EE. PROF. ARACY DA SILVA FREITAS
152787,MONGAGUÁ,FERNANDO FELIZI,1,EE. AGENOR DE CAMPOS
158253,MONGAGUÁ,JOSÉ PEDRO FACCINA,5,EMEF. PROF. PEDRO FERNANDES DANTE
158995,MONGAGUÁ,CARLOS JACO ROCHA,11,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
161075,MONGAGUÁ,IVANALDO SANTANA DIAS,2,EMEF. REGINA MARIA
161485,MONGAGUÁ,IVANALDO SANTANA DIAS,1,EMEF. BARIGUI
161987,MONGAGUÁ,CARLOS JACO ROCHA,5,EMEF. VERA CRUZ
163916,MONGAGUÁ,VANELITO DE JESUS,9,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
164470,MONGAGUÁ,CARLOS JACO ROCHA,6,EMEF. VERA CRUZ
164973,MONGAGUÁ,IVANALDO SANTANA DIAS,1,EMEF. BARIGUI
165423,MONGAGUÁ,VANELITO DE JESUS,1,EMEF. FLÓRIDA MIRIM
165554,MONGAGUÁ,IVANALDO SANTANA DIAS,1,EE. PROF. ARACY DA SILVA FREITAS
165975,MONGAGUÁ,CARLOS JACO ROCHA,9,EMEF. BARIGUI
167724,MONGAGUÁ,BALBINO FERREIRA DE JESUS,2,EMEF. TONICO SILVA
168527,MONGAGUÁ,IVANALDO SANTANA DIAS,2,EMEF. VERA CRUZ
168563,MONGAGUÁ,IVANALDO SANTANA DIAS,1,EMEF. IVONE DE ALMEIDA MONTEIRO
169042,MONGAGUÁ,IVANALDO SANTANA DIAS,2,EMEIEF. PEQUENO PRÍNCIPE
169397,MONGAGUÁ,RANIEDSON FERNANDES DE LIMA,1,EMEF. FLÓRIDA MIRIM
169580,MONGAGUÁ,ROSANA ZANELLI DE ALCANTARA,1,EE. PROF. ARACY DA SILVA FREITAS
171052,MONGAGUÁ,ROSANA ZANELLI DE ALCANTARA,4,EE. PROF. ARACY DA SILVA FREITAS
171259,MONGAGUÁ,JOSÉ PEDRO FACCINA,1,EMEF. VERA CRUZ
171270,MONGAGUÁ,BALBINO FERREIRA DE JESUS,2,EMEF. PREFEITO CASSIMIRO CORREA NETO
171280,MONGAGUÁ,GILSON PEREIRA DA SILVA,1,EMEIEF. PROF. CÉLIA PUPO DE JESUS
172555,MONGAGUÁ,ROSANA ZANELLI DE ALCANTARA,1,EMEF. PROF. PEDRO FERNANDES DANTE
173088,MONGAGUÁ,IVANALDO SANTANA DIAS,3,EMEF. JACOUB KOUKDJIAN
174088,MONGAGUÁ,ADRIANO DONATTI DE SOUZA,2,EMEF. IVONE DE ALMEIDA MONTEIRO
174294,MONGAGUÁ,MARCELO ALIENDE DE ZAGIACOMO,1,EMEF. IVONE DE ALMEIDA MONTEIRO
178823,MONGAGUÁ,CARLOS JACO ROCHA,5,EE. PROF. ARACY DA SILVA FREITAS
180330,MONGAGUÁ,CARLOS JACO ROCHA,2,EE. PROF. ARACY DA SILVA FREITAS
182799,MONGAGUÁ,CARLOS JACO ROCHA,14,EMEF. PROF. PEDRO FERNANDES DANTE
194682,MONGAGUÁ,JOSÉ CARLOS DOS SANTOS,2,EMEIEF. PEQUENO PRÍNCIPE
199205,MONGAGUÁ,JOSÉ CARLOS DOS SANTOS,2,EMEF. IVONE DE ALMEIDA MONTEIRO
206524,MONGAGUÁ,RANIEDSON FERNANDES DE LIMA,7,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
209040,MONGAGUÁ,RANIEDSON FERNANDES DE LIMA,1,EMEF. FLÓRIDA MIRIM
209273,MONGAGUÁ,ROSANA ZANELLI DE ALCANTARA,2,EMEIEF. PROF. CÉLIA PUPO DE JESUS
209348,MONGAGUÁ,DAVID JOSÉ DOS SANTOS,2,EMEF. REGINA MARIA
209763,MONGAGUÁ,JOSÉ CARLOS DOS SANTOS,2,EMEIEF. PEQUENO PRÍNCIPE
211265,MONGAGUÁ,ROSANA ZANELLI DE ALCANTARA,1,EE. AGENOR DE CAMPOS
211266,MONGAGUÁ,ROSANA ZANELLI DE ALCANTARA,1,EMEF. IVONE DE ALMEIDA MONTEIRO
212278,MONGAGUÁ,RODOLFO MARCELINO DO CARMO,1,EMEIEF. PEQUENO PRÍNCIPE
212659,MONGAGUÁ,WILLIAN DO NASCIMENTO AMORIM,4,EMEF. VERA CRUZ
213281,MONGAGUÁ,JOSÉ CARLOS DOS SANTOS,2,EE. PROF. AIDA LEDA BAUER DAVIES
213455,MONGAGUÁ,ROGÉRIO SIMÕES DE ARAÚJO,2,EMEF. VERA CRUZ
217997,MONGAGUÁ,ELIETE MIRANDA CRUZ DOS SANTOS,1,EE. AGENOR DE CAMPOS
221554,MONGAGUÁ,RANIEDSON FERNANDES DE LIMA,6,EE. PROF. ARACY DA SILVA FREITAS
224482,MONGAGUÁ,JOSIVALDO DE ALCANTARA,3,EMEF. IVONE DE ALMEIDA MONTEIRO
225598,MONGAGUÁ,JOSIVALDO DE ALCANTARA,2,EMEF. VERA CRUZ
228589,MONGAGUÁ,JOÃO CARLOS BATISTA DE SOUZA,2,EMEIEF. PROF. CÉLIA PUPO DE JESUS
229025,MONGAGUÁ,JOSIVALDO DE ALCANTARA,1,EMEF SIRANA KOUKDJIAN
229483,MONGAGUÁ,LUIZ GREGÓRIO AMARO,1,EMEF. VERA CRUZ
229621,MONGAGUÁ,JOÃO CARLOS BATISTA DE SOUZA,3,EMEF. IVONE DE ALMEIDA MONTEIRO
230549,MONGAGUÁ,JOSIVALDO DE ALCANTARA,1,EMEF. VERA CRUZ
232432,MONGAGUÁ,RODOLFO MARCELINO DO CARMO,4,EMEF SIRANA KOUKDJIAN
232899,MONGAGUÁ,VITOR LUIZ RODRIGUES SERRANO,1,EE. AGENOR DE CAMPOS
233092,MONGAGUÁ,RANIEDSON FERNANDES DE LIMA,6,EMEF. REGINA MARIA
233919,MONGAGUÁ,RODOLFO MARCELINO DO CARMO,2,EMEF. VERA CRUZ
234075,MONGAGUÁ,VITOR LUIZ RODRIGUES SERRANO,2,EE. PROF. ARACY DA SILVA FREITAS
234605,MONGAGUÁ,JOÃO CARLOS BATISTA DE SOUZA,3,EMEF. PROF. PEDRO FERNANDES DANTE
234606,MONGAGUÁ,ANA PAULA DE FREITAS MIRANDA,1,EMEF. PROF. PEDRO FERNANDES DANTE
234646,MONGAGUÁ,RANIEDSON FERNANDES DE LIMA,4,EMEF. REGINA MARIA
235082,MONGAGUÁ,JOSIVALDO DE ALCANTARA,1,EE. PROF. ARACY DA SILVA FREITAS
235485,MONGAGUÁ,DAVID JOSÉ DOS SANTOS,1,EE. AGENOR DE CAMPOS
236040,MONGAGUÁ,RANIEDSON FERNANDES DE LIMA,3,EMEF. IVONE DE ALMEIDA MONTEIRO
237932,MONGAGUÁ,CARLOS JACO ROCHA,2,EMEIEF. PEQUENO PRÍNCIPE
241607,MONGAGUÁ,SÉRGIO ELIAS DE CARVALHO,1,EMEF. REGINA MARIA
244042,MONGAGUÁ,VITOR LUIZ RODRIGUES SERRANO,1,EMEF. PREFEITO CASSIMIRO CORREA NETO
244557,MONGAGUÁ,JOSIVALDO DE ALCANTARA,1,EMEF. PREFEITO CASSIMIRO CORREA NETO
245549,MONGAGUÁ,RODOLFO MARCELINO DO CARMO,1,EMEF. TONICO SILVA
246903,MONGAGUÁ,RANIEDSON FERNANDES DE LIMA,5,EE. PROF. AIDA LEDA BAUER DAVIES
252112,MONGAGUÁ,RODOLFO MARCELINO DO CARMO,1,EE. PROF. AIDA LEDA BAUER DAVIES
252317,MONGAGUÁ,IVANALDO SANTANA DIAS,1,EMEIEF. PEQUENO PRÍNCIPE
254314,MONGAGUÁ,IVANALDO SANTANA DIAS,1,EE. PROF. AIDA LEDA BAUER DAVIES
254622,MONGAGUÁ,SILVANA ALVES MOREIRA DOS SANTOS,1,EMEF. PREFEITO CASSIMIRO CORREA NETO
255861,MONGAGUÁ,EDUARDO ALVES MENNUCCI,1,EMEIEF. PEQUENO PRÍNCIPE
258504,MONGAGUÁ,JOSIVALDO DE ALCANTARA,1,EMEF. BARIGUI
260034,MONGAGUÁ,EDUARDO ALVES MENNUCCI,2,EMEF. VERA CRUZ
264316,MONGAGUÁ,MARIA DANIELA NOGUEIRA DONI,1,EMEF. REGINA MARIA
268140,MONGAGUÁ,JOSÉ CARLOS DOS SANTOS,5,EMEF. BARIGUI
269745,MONGAGUÁ,HERMES VACCARI JUNIOR,1,EMEF. FLÓRIDA MIRIM
269936,MONGAGUÁ,JOSÉ PEDRO FACCINA,2,EMEF. FLÓRIDA MIRIM
269954,MONGAGUÁ,JOSÉ PEDRO FACCINA,2,EMEIEF. PEQUENO PRÍNCIPE
274180,MONGAGUÁ,JOSÉ CARLOS DOS SANTOS,6,EMEF. BARIGUI
274982,MONGAGUÁ,JOSE ENILDO DE SOUZA,1,EE. PROF. ARACY DA SILVA FREITAS
275948,MONGAGUÁ,JOSÉ PEDRO FACCINA,4,EMEF. VERA CRUZ
276310,MONGAGUÁ,VANELITO DE JESUS,2,EMEF. VERA CRUZ
276631,MONGAGUÁ,JOSÉ CARLOS DOS SANTOS,1,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
277129,MONGAGUÁ,JOSÉ CARLOS DOS SANTOS,1,EMEF. VERA CRUZ
277501,MONGAGUÁ,JOSIVALDO DE ALCANTARA,1,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
278605,MONGAGUÁ,RANIEDSON FERNANDES DE LIMA,8,EMEF. REGINA MARIA
279535,MONGAGUÁ,RODOLFO MARCELINO DO CARMO,1,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
280080,MONGAGUÁ,RANIEDSON FERNANDES DE LIMA,7,EMEIEF. PEQUENO PRÍNCIPE
282848,MONGAGUÁ,IVANALDO SANTANA DIAS,1,EMEF. IVONE DE ALMEIDA MONTEIRO
284401,MONGAGUÁ,IVANALDO SANTANA DIAS,1,EMEF. VERA CRUZ
286114,MONGAGUÁ,RANIEDSON FERNANDES DE LIMA,9,EMEF. IVONE DE ALMEIDA MONTEIRO
286772,MONGAGUÁ,MARIA MADALENA BRITO GOMES,2,EMEF. REGINA MARIA
286944,MONGAGUÁ,MARIA MADALENA BRITO GOMES,1,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
287817,MONGAGUÁ,IVANALDO SANTANA DIAS,5,EE. AGENOR DE CAMPOS
287986,MONGAGUÁ,MARIA MADALENA BRITO GOMES,1,EMEF. FLÓRIDA MIRIM
288632,MONGAGUÁ,JOSIVALDO DE ALCANTARA,1,EMEIEF. PROF. CÉLIA PUPO DE JESUS
290860,MONGAGUÁ,IVANALDO SANTANA DIAS,2,EE. AGENOR DE CAMPOS
291892,MONGAGUÁ,RODOLFO MARCELINO DO CARMO,1,EMEF. IVONE DE ALMEIDA MONTEIRO
292206,MONGAGUÁ,JOÃO CARLOS BATISTA DE SOUZA,2,EE. AGENOR DE CAMPOS
292856,MONGAGUÁ,IVANALDO SANTANA DIAS,1,EE. PROF. ARACY DA SILVA FREITAS
295506,MONGAGUÁ,JOSIVALDO DE ALCANTARA,1,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
298327,MONGAGUÁ,IVANALDO SANTANA DIAS,1,EMEF. REGINA MARIA
298701,MONGAGUÁ,JOÃO CARLOS BATISTA DE SOUZA,2,EMEF. JACOUB KOUKDJIAN
298867,MONGAGUÁ,IVANALDO SANTANA DIAS,1,EMEF. REGINA MARIA
302391,MONGAGUÁ,IVANALDO SANTANA DIAS,1,EE. AGENOR DE CAMPOS
302397,MONGAGUÁ,IVANALDO SANTANA DIAS,2,EE. PROF. AIDA LEDA BAUER DAVIES
304041,MONGAGUÁ,BALBINO FERREIRA DE JESUS,3,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
305398,MONGAGUÁ,IVANALDO SANTANA DIAS,1,EMEF. TONICO SILVA
309290,MONGAGUÁ,JOSÉ PEDRO FACCINA,5,EMEF. TONICO SILVA
314463,MONGAGUÁ,RODOLFO MARCELINO DO CARMO,1,EMEIEF. PROF. CÉLIA PUPO DE JESUS
316376,MONGAGUÁ,JOSE ENILDO DE SOUZA,1,EMEF. TONICO SILVA
317511,MONGAGUÁ,ROSANA ZANELLI DE ALCANTARA,2,EMEIEF. PEQUENO PRÍNCIPE
319201,MONGAGUÁ,CARLOS JACO ROCHA,10,EE. AGENOR DE CAMPOS
319499,MONGAGUÁ,RODOLFO MARCELINO DO CARMO,3,EMEF. PROF. PEDRO FERNANDES DANTE
319831,MONGAGUÁ,JOSIVALDO DE ALCANTARA,2,EMEIEF SÍTIO DO PICA PAU AMARELO
320903,MONGAGUÁ,JOSE ENILDO DE SOUZA,2,EMEF. PREFEITO CASSIMIRO CORREA NETO
321550,MONGAGUÁ,ADRIANO DONATTI DE SOUZA,1,EMEIEF. PROF. CÉLIA PUPO DE JESUS
322870,MONGAGUÁ,VITOR LUIZ RODRIGUES SERRANO,1,EMEF. PREFEITO CASSIMIRO CORREA NETO
324363,MONGAGUÁ,JOSIVALDO DE ALCANTARA,3,EMEF. PREFEITO CASSIMIRO CORREA NETO
324538,MONGAGUÁ,ROSANA ZANELLI DE ALCANTARA,1,EMEIEF. PEQUENO PRÍNCIPE
324964,MONGAGUÁ,FERNANDO FELIZI,6,EMEF. FLÓRIDA MIRIM
325250,MONGAGUÁ,ANA PAULA DE FREITAS MIRANDA,1,EMEF. VERA CRUZ
325268,MONGAGUÁ,JOÃO CARLOS BATISTA DE SOUZA,7,EMEF. VERA CRUZ
327260,MONGAGUÁ,ADRIANA GALINDO DOS SANTOS LEITE,1,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
327508,MONGAGUÁ,RANIEDSON FERNANDES DE LIMA,6,EMEF SIRANA KOUKDJIAN
328555,MONGAGUÁ,JOSÉ CARLOS DOS SANTOS,2,EMEIEF SÍTIO DO PICA PAU AMARELO
328605,MONGAGUÁ,ADRIANO DONATTI DE SOUZA,3,EMEF. IVONE DE ALMEIDA MONTEIRO
328812,MONGAGUÁ,MARIA DANIELA NOGUEIRA DONI,1,EMEF. PREFEITO CASSIMIRO CORREA NETO
330528,MONGAGUÁ,RANIEDSON FERNANDES DE LIMA,4,EMEF. VERA CRUZ
331812,MONGAGUÁ,MARCUS VINICIUS PEREIRA,3,EMEF. VERA CRUZ
334414,MONGAGUÁ,RODOLFO MARCELINO DO CARMO,1,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
334960,MONGAGUÁ,GUSTAVO TOZI DA SILVA,1,EE. PROF. ARACY DA SILVA FREITAS
337214,MONGAGUÁ,VITOR LUIZ RODRIGUES SERRANO,2,EE. AGENOR DE CAMPOS
338488,MONGAGUÁ,JOSÉ PEDRO FACCINA,2,EMEIEF. PROF. CÉLIA PUPO DE JESUS
340781,MONGAGUÁ,RODOLFO MARCELINO DO CARMO,2,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
342111,MONGAGUÁ,RANIEDSON FERNANDES DE LIMA,8,EMEF. BARIGUI
343629,MONGAGUÁ,RANIEDSON FERNANDES DE LIMA,5,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
346744,MONGAGUÁ,RANIEDSON FERNANDES DE LIMA,9,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
348061,MONGAGUÁ,JOÃO CARLOS BATISTA DE SOUZA,4,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
351811,MONGAGUÁ,RODOLFO MARCELINO DO CARMO,3,EMEIEF SÍTIO DO PICA PAU AMARELO
354308,MONGAGUÁ,RANIEDSON FERNANDES DE LIMA,7,EMEIEF. PEQUENO PRÍNCIPE
354462,MONGAGUÁ,BALBINO FERREIRA DE JESUS,1,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
362540,MONGAGUÁ,CARLOS JACO ROCHA,2,EMEF. TONICO SILVA
363532,MONGAGUÁ,FERNANDA PEREIRA DA COSTA,2,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
363559,MONGAGUÁ,JOÃO CARLOS BATISTA DE SOUZA,4,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
365589,MONGAGUÁ,CARLOS JACO ROCHA,4,EE. PROF. AIDA LEDA BAUER DAVIES
