,NM_MUNICIPIO,DS_CARGO,NM_VOTAVEL,QT_VOTOS,NM_LOCAL_VOTACAO
25026,MONGAGUÁ,Prefeito,RAFAEL LUIZ REDO GARCIA,71,EMEF. IVONE DE ALMEIDA MONTEIRO
25027,MONGAGUÁ,Prefeito,RAFAEL LUIZ REDO GARCIA,59,EMEF. FLÓRIDA MIRIM
25045,MONGAGUÁ,Vereador,RENATA DE LIMA SANTANA DIAS,1,EMEIEF. PEQUENO PRÍNCIPE
26541,MONGAGUÁ,Vereador,ELI DE SOUZA SILVA,2,EMEIEF. PEQUENO PRÍNCIPE
26561,MONGAGUÁ,Prefeito,RAFAEL LUIZ REDO GARCIA,62,EE. AGENOR DE CAMPOS
26564,MONGAGUÁ,Prefeito,RAFAEL LUIZ REDO GARCIA,49,EMEF. BARIGUI
26565,MONGAGUÁ,Prefeito,RAFAEL LUIZ REDO GARCIA,89,EE. PROF. ARACY DA SILVA FREITAS
28579,MONGAGUÁ,Prefeito,RAFAEL LUIZ REDO GARCIA,66,EMEF. IVONE DE ALMEIDA MONTEIRO
28580,MONGAGUÁ,Prefeito,RAFAEL LUIZ REDO GARCIA,64,EMEIEF. PEQUENO PRÍNCIPE
30572,MONGAGUÁ,Prefeito,RAFAEL LUIZ REDO GARCIA,71,EMEF. JACOUB KOUKDJIAN
30576,MONGAGUÁ,Prefeito,RAFAEL LUIZ REDO GARCIA,63,EMEF. FLÓRIDA MIRIM
30577,MONGAGUÁ,Prefeito,RAFAEL LUIZ REDO GARCIA,60,EMEF. TONICO SILVA
30578,MONGAGUÁ,Prefeito,RAFAEL LUIZ REDO GARCIA,63,EMEF. TONICO SILVA
32058,MONGAGUÁ,Prefeito,RAFAEL LUIZ REDO GARCIA,78,EE. PROF. AIDA LEDA BAUER DAVIES
32059,MONGAGUÁ,Prefeito,RAFAEL LUIZ REDO GARCIA,73,EMEF. FLÓRIDA MIRIM
32060,MONGAGUÁ,Prefeito,RAFAEL LUIZ REDO GARCIA,47,EE. AGENOR DE CAMPOS
32064,MONGAGUÁ,Vereador,RENATA DE LIMA SANTANA DIAS,1,EMEF. BARIGUI
32589,MONGAGUÁ,Prefeito,RAFAEL LUIZ REDO GARCIA,99,EE. PROF. AIDA LEDA BAUER DAVIES
32590,MONGAGUÁ,Prefeito,RAFAEL LUIZ REDO GARCIA,55,EMEF SIRANA KOUKDJIAN
32591,MONGAGUÁ,Prefeito,RAFAEL LUIZ REDO GARCIA,44,EE. AGENOR DE CAMPOS
32592,MONGAGUÁ,Prefeito,RAFAEL LUIZ REDO GARCIA,63,EMEF. JACOUB KOUKDJIAN
33591,MONGAGUÁ,Prefeito,RAFAEL LUIZ REDO GARCIA,88,EE. PROF. AIDA LEDA BAUER DAVIES
33592,MONGAGUÁ,Prefeito,RAFAEL LUIZ REDO GARCIA,75,EMEF. BARIGUI
33593,MONGAGUÁ,Prefeito,RAFAEL LUIZ REDO GARCIA,71,EE. AGENOR DE CAMPOS
35056,MONGAGUÁ,Prefeito,RAFAEL LUIZ REDO GARCIA,72,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
35059,MONGAGUÁ,Prefeito,RAFAEL LUIZ REDO GARCIA,66,EMEF SIRANA KOUKDJIAN
35061,MONGAGUÁ,Prefeito,RAFAEL LUIZ REDO GARCIA,62,EMEF SIRANA KOUKDJIAN
35587,MONGAGUÁ,Prefeito,RAFAEL LUIZ REDO GARCIA,62,EMEF. TONICO SILVA
37578,MONGAGUÁ,Vereador,ELAINE ALVES DE ARRUDA,2,EMEF. PREFEITO CASSIMIRO CORREA NETO
38627,MONGAGUÁ,Vereador,MARLENE APARECIDA DE SOUZA ZERTUS,1,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
39082,MONGAGUÁ,Vereador,MARLENE APARECIDA DE SOUZA ZERTUS,1,EE. AGENOR DE CAMPOS
40578,MONGAGUÁ,Vereador,ADEILTON SANTIAGO,1,EMEIEF. PROF. CÉLIA PUPO DE JESUS
40594,MONGAGUÁ,Vereador,ALEXANDRE DA SILVA GUERRA,2,EMEF. PREFEITO CASSIMIRO CORREA NETO
40601,MONGAGUÁ,Vereador,ALEXANDRE DA SILVA GUERRA,4,EMEF. IVONE DE ALMEIDA MONTEIRO
41613,MONGAGUÁ,Vereador,RENATA DE LIMA SANTANA DIAS,1,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
41614,MONGAGUÁ,Vereador,RENATA DE LIMA SANTANA DIAS,1,EMEIEF CLAUDIA MARIA ANDRELLA
43634,MONGAGUÁ,Vereador,VANDERLEY DE OLIVEIRA AMORIM,3,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
46127,MONGAGUÁ,Vereador,EDILSON TONON D ALMEIDA,3,EMEIEF. PEQUENO PRÍNCIPE
46130,MONGAGUÁ,Vereador,EDILSON TONON D ALMEIDA,4,EMEIEF. PEQUENO PRÍNCIPE
46138,MONGAGUÁ,Vereador,EDILSON TONON D ALMEIDA,9,EMEIEF. PROF. CÉLIA PUPO DE JESUS
46605,MONGAGUÁ,Vereador,WALTER LUIZ DA COSTA,3,EMEIEF CLAUDIA MARIA ANDRELLA
46637,MONGAGUÁ,Vereador,WALTER LUIZ DA COSTA,1,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
48142,MONGAGUÁ,Vereador,ELAINE ALVES DE ARRUDA,2,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
48158,MONGAGUÁ,Vereador,GILMAR AGUIAR FREITAS,1,EMEIEF. PEQUENO PRÍNCIPE
48160,MONGAGUÁ,Vereador,GILMAR AGUIAR FREITAS,4,EMEIEF. PEQUENO PRÍNCIPE
48609,MONGAGUÁ,Vereador,GILMAR AGUIAR FREITAS,5,EMEIEF. PROF. CÉLIA PUPO DE JESUS
48620,MONGAGUÁ,Vereador,MARIA PAULA PEREIRA KOUKDJIAN,4,EMEIEF. PEQUENO PRÍNCIPE
48624,MONGAGUÁ,Vereador,MARIA PAULA PEREIRA KOUKDJIAN,11,EMEIEF. PEQUENO PRÍNCIPE
48628,MONGAGUÁ,Vereador,MARIA PAULA PEREIRA KOUKDJIAN,6,EMEIEF. PROF. CÉLIA PUPO DE JESUS
49110,MONGAGUÁ,Vereador,MARIA EUNICE OLIVEIRA DOS SANTOS,1,EMEIEF. PEQUENO PRÍNCIPE
49657,MONGAGUÁ,Vereador,ADEILTON SANTIAGO,1,EE. PROF. ARACY DA SILVA FREITAS
51169,MONGAGUÁ,Vereador,ALEXANDRE DA SILVA GUERRA,2,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
51170,MONGAGUÁ,Vereador,ALEXANDRE DA SILVA GUERRA,4,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
51175,MONGAGUÁ,Vereador,ALEXANDRE DA SILVA GUERRA,2,EMEF. IVONE DE ALMEIDA MONTEIRO
51178,MONGAGUÁ,Vereador,ALEXANDRE DA SILVA GUERRA,5,EMEF. IVONE DE ALMEIDA MONTEIRO
52153,MONGAGUÁ,Vereador,RENATO CARVALHO DONATO,4,EMEIEF. PEQUENO PRÍNCIPE
52154,MONGAGUÁ,Vereador,RENATO CARVALHO DONATO,1,EMEIEF. PEQUENO PRÍNCIPE
52160,MONGAGUÁ,Vereador,ELI DE SOUZA SILVA,1,EMEIEF CLAUDIA MARIA ANDRELLA
52618,MONGAGUÁ,Vereador,RENATO CARVALHO DONATO,5,EMEIEF. PROF. CÉLIA PUPO DE JESUS
53640,MONGAGUÁ,Vereador,FABIO DO CARMO CEZAR,1,EMEF. PROF. PEDRO FERNANDES DANTE
55658,MONGAGUÁ,Vereador,EDILSON TONON D ALMEIDA,7,EMEF. PROF. PEDRO FERNANDES DANTE
56658,MONGAGUÁ,Vereador,ELAINE ALVES DE ARRUDA,1,EMEIEF. PROF. CÉLIA PUPO DE JESUS
56685,MONGAGUÁ,Vereador,RENATO CARVALHO DONATO,3,EMEF. PROF. PEDRO FERNANDES DANTE
57194,MONGAGUÁ,Vereador,ALEXANDRE NADDEO,1,EMEF. JACOUB KOUKDJIAN
57682,MONGAGUÁ,Vereador,ALEXANDRE DA SILVA GUERRA,6,EMEIEF. PROF. CÉLIA PUPO DE JESUS
58700,MONGAGUÁ,Vereador,RENATA DE LIMA SANTANA DIAS,1,EMEF. IVONE DE ALMEIDA MONTEIRO
60153,MONGAGUÁ,Vereador,EDILSON TONON D ALMEIDA,6,EMEIEF CLAUDIA MARIA ANDRELLA
60154,MONGAGUÁ,Vereador,EDILSON TONON D ALMEIDA,15,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
60155,MONGAGUÁ,Vereador,EDILSON TONON D ALMEIDA,8,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
60694,MONGAGUÁ,Vereador,ELI DE SOUZA SILVA,1,EMEF. FLÓRIDA MIRIM
62711,MONGAGUÁ,Vereador,GILMAR AGUIAR FREITAS,2,EMEIEF CLAUDIA MARIA ANDRELLA
62712,MONGAGUÁ,Vereador,GILMAR AGUIAR FREITAS,3,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
63154,MONGAGUÁ,Vereador,GILMAR AGUIAR FREITAS,5,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
63168,MONGAGUÁ,Vereador,MARIA PAULA PEREIRA KOUKDJIAN,5,EMEIEF CLAUDIA MARIA ANDRELLA
63169,MONGAGUÁ,Vereador,MARIA PAULA PEREIRA KOUKDJIAN,8,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
63172,MONGAGUÁ,Vereador,MARIA PAULA PEREIRA KOUKDJIAN,4,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
63685,MONGAGUÁ,Vereador,MARIA EUNICE OLIVEIRA DOS SANTOS,1,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
65197,MONGAGUÁ,Vereador,WAGNER MARTINS DOS REIS,1,EMEF. TONICO SILVA
65198,MONGAGUÁ,Vereador,WAGNER MARTINS DOS REIS,2,EE. PROF. ARACY DA SILVA FREITAS
65686,MONGAGUÁ,Vereador,ALEXANDRE DA SILVA GUERRA,1,EMEF. PROF. PEDRO FERNANDES DANTE
66190,MONGAGUÁ,Vereador,RENATA DE LIMA SANTANA DIAS,1,EE. PROF. ARACY DA SILVA FREITAS
66709,MONGAGUÁ,Vereador,GILVAN NUNES SOARES,1,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
67212,MONGAGUÁ,Vereador,RENATO CARVALHO DONATO,1,EMEIEF CLAUDIA MARIA ANDRELLA
67217,MONGAGUÁ,Vereador,RENATO CARVALHO DONATO,7,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
67219,MONGAGUÁ,Vereador,RENATO CARVALHO DONATO,8,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
67677,MONGAGUÁ,Vereador,ELI DE SOUZA SILVA,1,EMEF. BARIGUI
67678,MONGAGUÁ,Vereador,ALEX GONÇALVES DE ARAÚJO,1,EE. AGENOR DE CAMPOS
68694,MONGAGUÁ,Vereador,FABIO DO CARMO CEZAR,2,EMEIEF. PEQUENO PRÍNCIPE
68695,MONGAGUÁ,Vereador,FABIO DO CARMO CEZAR,1,EE. AGENOR DE CAMPOS
70677,MONGAGUÁ,Vereador,EDILSON TONON D ALMEIDA,5,EMEIEF. PEQUENO PRÍNCIPE
70682,MONGAGUÁ,Vereador,EDILSON TONON D ALMEIDA,4,EMEF. FLÓRIDA MIRIM
70683,MONGAGUÁ,Vereador,EDILSON TONON D ALMEIDA,1,EMEF. IVONE DE ALMEIDA MONTEIRO
70684,MONGAGUÁ,Vereador,EDILSON TONON D ALMEIDA,2,EE. AGENOR DE CAMPOS
71681,MONGAGUÁ,Vereador,ALEXANDRE DA SILVA GUERRA,3,EMEF. PROF. PEDRO FERNANDES DANTE
71682,MONGAGUÁ,Vereador,ALEXANDRE DA SILVA GUERRA,7,EE. PROF. ARACY DA SILVA FREITAS
72216,MONGAGUÁ,Vereador,MARLENE APARECIDA DE SOUZA ZERTUS,2,EMEF. TONICO SILVA
72225,MONGAGUÁ,Vereador,MARLENE APARECIDA DE SOUZA ZERTUS,1,EE. PROF. ARACY DA SILVA FREITAS
72677,MONGAGUÁ,Vereador,GILMAR AGUIAR FREITAS,1,EE. AGENOR DE CAMPOS
72681,MONGAGUÁ,Vereador,MARIA PAULA PEREIRA KOUKDJIAN,5,EMEIEF. PEQUENO PRÍNCIPE
72692,MONGAGUÁ,Vereador,MARIA PAULA PEREIRA KOUKDJIAN,2,EMEF. FLÓRIDA MIRIM
72695,MONGAGUÁ,Vereador,MARIA PAULA PEREIRA KOUKDJIAN,5,EMEF. IVONE DE ALMEIDA MONTEIRO
72700,MONGAGUÁ,Vereador,MARIA PAULA PEREIRA KOUKDJIAN,5,EE. AGENOR DE CAMPOS
73186,MONGAGUÁ,Vereador,MARIA EUNICE OLIVEIRA DOS SANTOS,1,EMEIEF. PEQUENO PRÍNCIPE
73197,MONGAGUÁ,Vereador,MARIA EUNICE OLIVEIRA DOS SANTOS,2,EMEF. IVONE DE ALMEIDA MONTEIRO
74690,MONGAGUÁ,Vereador,MIRELLA KEZIA SOUZA FELIX DE LIMA,1,EE. PROF. ARACY DA SILVA FREITAS
75199,MONGAGUÁ,Vereador,WALTER LUIZ DA COSTA,1,EMEF. TONICO SILVA
75223,MONGAGUÁ,Vereador,WALTER LUIZ DA COSTA,1,EE. PROF. ARACY DA SILVA FREITAS
76201,MONGAGUÁ,Vereador,MARCELO PIRES FERREIRA,1,EMEF SIRANA KOUKDJIAN
76210,MONGAGUÁ,Vereador,RENATO CARVALHO DONATO,5,EMEIEF. PEQUENO PRÍNCIPE
76214,MONGAGUÁ,Vereador,RENATO CARVALHO DONATO,1,EMEF. FLÓRIDA MIRIM
76215,MONGAGUÁ,Vereador,RENATO CARVALHO DONATO,6,EMEF. IVONE DE ALMEIDA MONTEIRO
76217,MONGAGUÁ,Vereador,RENATO CARVALHO DONATO,5,EE. AGENOR DE CAMPOS
77211,MONGAGUÁ,Vereador,ELAINE ALVES DE ARRUDA,1,EMEF SIRANA KOUKDJIAN
77221,MONGAGUÁ,Vereador,ELI DE SOUZA SILVA,2,EMEIEF. PEQUENO PRÍNCIPE
77690,MONGAGUÁ,Vereador,FABIO DO CARMO CEZAR,1,EE. PROF. ARACY DA SILVA FREITAS
79216,MONGAGUÁ,Vereador,EDILSON TONON D ALMEIDA,14,EE. PROF. ARACY DA SILVA FREITAS
79218,MONGAGUÁ,Vereador,EDILSON TONON D ALMEIDA,12,EMEIEF. PROF. CÉLIA PUPO DE JESUS
79709,MONGAGUÁ,Vereador,ALEXANDRE DA SILVA GUERRA,5,EMEIEF. PROF. CÉLIA PUPO DE JESUS
81234,MONGAGUÁ,Vereador,GILMAR AGUIAR FREITAS,1,EE. PROF. ARACY DA SILVA FREITAS
81243,MONGAGUÁ,Vereador,GILMAR AGUIAR FREITAS,2,EMEIEF. PROF. CÉLIA PUPO DE JESUS
81247,MONGAGUÁ,Vereador,LIAMARA ZUBIA CHILA,3,EMEF. TONICO SILVA
81250,MONGAGUÁ,Vereador,LIAMARA ZUBIA CHILA,2,EMEF. TONICO SILVA
81254,MONGAGUÁ,Vereador,LIAMARA ZUBIA CHILA,1,EE. PROF. ARACY DA SILVA FREITAS
81255,MONGAGUÁ,Vereador,MARIA PAULA PEREIRA KOUKDJIAN,17,EE. PROF. ARACY DA SILVA FREITAS
81259,MONGAGUÁ,Vereador,MARIA PAULA PEREIRA KOUKDJIAN,4,EMEIEF. PROF. CÉLIA PUPO DE JESUS
81747,MONGAGUÁ,Vereador,FABIO DO CARMO CEZAR,1,EMEIEF CLAUDIA MARIA ANDRELLA
82247,MONGAGUÁ,Vereador,ALEXANDRE DA SILVA GUERRA,4,EMEIEF. PEQUENO PRÍNCIPE
82730,MONGAGUÁ,Vereador,MARIA EUNICE OLIVEIRA DOS SANTOS,1,EE. PROF. ARACY DA SILVA FREITAS
84213,MONGAGUÁ,Vereador,ADEILTON SANTIAGO,1,EMEF. TONICO SILVA
84760,MONGAGUÁ,Vereador,MARCELO PIRES FERREIRA,1,EE. PROF. AIDA LEDA BAUER DAVIES
85225,MONGAGUÁ,Vereador,RENATA DE LIMA SANTANA DIAS,2,EMEF. JACOUB KOUKDJIAN
85261,MONGAGUÁ,Vereador,WAGNER MARTINS DOS REIS,1,EE. AGENOR DE CAMPOS
86219,MONGAGUÁ,Vereador,RENATO CARVALHO DONATO,6,EE. PROF. ARACY DA SILVA FREITAS
86224,MONGAGUÁ,Vereador,RENATO CARVALHO DONATO,5,EMEIEF. PROF. CÉLIA PUPO DE JESUS
86270,MONGAGUÁ,Vereador,ELI DE SOUZA SILVA,8,EMEF. JACOUB KOUKDJIAN
86714,MONGAGUÁ,Vereador,ALEX GONÇALVES DE ARAÚJO,1,EMEF. JACOUB KOUKDJIAN
86718,MONGAGUÁ,Vereador,ELI DE SOUZA SILVA,3,EMEF. FLÓRIDA MIRIM
87258,MONGAGUÁ,Vereador,FABIO DO CARMO CEZAR,1,EMEF. JACOUB KOUKDJIAN
88239,MONGAGUÁ,Vereador,ALEXANDRE DA SILVA GUERRA,2,EE. PROF. AIDA LEDA BAUER DAVIES
89750,MONGAGUÁ,Vereador,EDILSON TONON D ALMEIDA,4,EMEF. JACOUB KOUKDJIAN
91757,MONGAGUÁ,Vereador,GILMAR AGUIAR FREITAS,1,EMEF. JACOUB KOUKDJIAN
91778,MONGAGUÁ,Vereador,MARIA PAULA PEREIRA KOUKDJIAN,6,EMEF. JACOUB KOUKDJIAN
92772,MONGAGUÁ,Vereador,RENATA DE LIMA SANTANA DIAS,1,EE. PROF. AIDA LEDA BAUER DAVIES
93275,MONGAGUÁ,Vereador,ELAINE ALVES DE ARRUDA,1,EMEF VEREADOR GIVALDO ALVES GOMES
93276,MONGAGUÁ,Vereador,ELAINE ALVES DE ARRUDA,1,EMEIEF CLAUDIA MARIA ANDRELLA
93298,MONGAGUÁ,Vereador,ELI DE SOUZA SILVA,5,EMEF. FLÓRIDA MIRIM
94798,MONGAGUÁ,Vereador,VANDERLEY DE OLIVEIRA AMORIM,1,EE. AGENOR DE CAMPOS
95257,MONGAGUÁ,Vereador,ALEXANDRE DA SILVA GUERRA,2,EMEF. JACOUB KOUKDJIAN
95258,MONGAGUÁ,Vereador,ALEXANDRE DA SILVA GUERRA,1,EMEF VEREADOR GIVALDO ALVES GOMES
95265,MONGAGUÁ,Vereador,ALEXANDRE DA SILVA GUERRA,2,EE. AGENOR DE CAMPOS
95286,MONGAGUÁ,Vereador,GILVAN NUNES SOARES,1,EMEF. JACOUB KOUKDJIAN
95753,MONGAGUÁ,Vereador,RENATO CARVALHO DONATO,4,EMEF. JACOUB KOUKDJIAN
95805,MONGAGUÁ,Vereador,WALTER LUIZ DA COSTA,1,EE. AGENOR DE CAMPOS
97258,MONGAGUÁ,Vereador,ELI DE SOUZA SILVA,1,EE. AGENOR DE CAMPOS
97259,MONGAGUÁ,Vereador,ELI DE SOUZA SILVA,5,EMEF. JACOUB KOUKDJIAN
100290,MONGAGUÁ,Vereador,RENATA DE LIMA SANTANA DIAS,1,EMEF. BARIGUI
100815,MONGAGUÁ,Vereador,ELI DE SOUZA SILVA,3,EE. AGENOR DE CAMPOS
101767,MONGAGUÁ,Vereador,ALEXANDRE DA SILVA GUERRA,8,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
102301,MONGAGUÁ,Vereador,LIAMARA ZUBIA CHILA,1,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
103813,MONGAGUÁ,Vereador,ADEILTON SANTIAGO,1,EMEF SIRANA KOUKDJIAN
103814,MONGAGUÁ,Vereador,ADEILTON SANTIAGO,1,EMEF SIRANA KOUKDJIAN
106805,MONGAGUÁ,Vereador,ELAINE ALVES DE ARRUDA,2,EMEF. TONICO SILVA
107831,MONGAGUÁ,Vereador,EDILSON TONON D ALMEIDA,9,EMEF. PROF. PEDRO FERNANDES DANTE
108849,MONGAGUÁ,Vereador,RENATA DE LIMA SANTANA DIAS,1,EMEF. TONICO SILVA
109302,MONGAGUÁ,Vereador,ALEXANDRE DA SILVA GUERRA,2,EMEF. TONICO SILVA
109305,MONGAGUÁ,Vereador,ALEXANDRE DA SILVA GUERRA,4,EMEF. PREFEITO CASSIMIRO CORREA NETO
110328,MONGAGUÁ,Vereador,GILMAR AGUIAR FREITAS,2,EMEF. PROF. PEDRO FERNANDES DANTE
110349,MONGAGUÁ,Vereador,MARIA PAULA PEREIRA KOUKDJIAN,4,EMEF. PROF. PEDRO FERNANDES DANTE
110838,MONGAGUÁ,Vereador,MARIA EUNICE OLIVEIRA DOS SANTOS,1,EMEF. PROF. PEDRO FERNANDES DANTE
111831,MONGAGUÁ,Vereador,MARLENE APARECIDA DE SOUZA ZERTUS,1,EE. AGENOR DE CAMPOS
113846,MONGAGUÁ,Vereador,GILVAN NUNES SOARES,1,EMEF. PROF. PEDRO FERNANDES DANTE
114327,MONGAGUÁ,Vereador,RENATO CARVALHO DONATO,3,EMEF. PROF. PEDRO FERNANDES DANTE
115336,MONGAGUÁ,Vereador,RENATO CARVALHO DONATO,5,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
115865,MONGAGUÁ,Vereador,ELAINE ALVES DE ARRUDA,2,EMEF. IVONE DE ALMEIDA MONTEIRO
117338,MONGAGUÁ,Vereador,EDILSON TONON D ALMEIDA,10,EMEF. TONICO SILVA
117345,MONGAGUÁ,Vereador,EDILSON TONON D ALMEIDA,5,EMEF. PREFEITO CASSIMIRO CORREA NETO
117839,MONGAGUÁ,Vereador,ADEILTON SANTIAGO,1,EMEF. IVONE DE ALMEIDA MONTEIRO
117840,MONGAGUÁ,Vereador,ADEILTON SANTIAGO,1,EE. AGENOR DE CAMPOS
